Number of particles: 100
Nmax: 12
Gamma: 0.5
Interaction type: custom
Step size: 8e-05
Batch size: 200000
Batch count: 150
             Batch number               Average n0          Fluctuations n0                   Energy           Particle count                 Momentum
                        1          6.7804067123196        6.356087386351466        9415.314895575311        100.0000047855218     -0.04475951563020786
                        2        7.099797781836194        6.329530239741925        9415.314733366869        100.0000039624518     -0.04475933040597102
                        3        7.258672702572164        6.244573466577189        9415.314581835888        100.0000031802943     -0.04475931267508315
                        4        7.683387267958437        7.219894357105693        9415.314387988785        100.0000022370943     -0.04475877556061292
                        5        7.857249027085948        7.236525432535974        9415.314225144301        100.0000014126457     -0.04475881194978548
                        6        7.446028834085513        6.673225280377997        9415.314077030107        100.0000006458769     -0.04475887276598201
                        7        6.963901485869357        6.497696559413447        9415.313921133069         99.9999998478976     -0.04475859780757574
                        8        7.061889074955293        6.034492967002416        9415.313775068673        99.99999908695727     -0.04475859381745551
                        9        6.857510300660461        5.958154448455231        9415.313626262279        99.99999831594174     -0.04475866565034892
                       10        7.216686085852063        6.354638978944446        9415.313460347461        99.99999748050296     -0.04475809206559722
                       11        6.631813174558387        6.035638120775729        9415.313287950996        99.99999661671106     -0.04475808900454403
                       12        7.640474083300415        7.328588135856481        9415.313103526119        99.99999570649464     -0.04475805520765519
                       13        6.642765841582617        5.959894010889905        9415.312949680709        99.99999491864183     -0.04475798536785724
                       14        7.898118507949785        6.971189253266163        9415.312764120543        99.99999400580354     -0.04475802446550858
                       15        7.888295251389497        7.345720650365277        9415.312583866282        99.99999311080666     -0.04475834489499775
                       16         7.58582768628411        6.817685463735606        9415.312420997061        99.99999228331798     -0.04475861532580439
                       17        7.321958063059552        6.492540379320845        9415.312257185535         99.9999914555215     -0.04475809465962222
                       18        7.589968317425725        6.488357573303097        9415.312085936668        99.99999059731482     -0.04475782573774723
                       19        6.683053768889941         6.04609074027835        9415.311938106717        99.99998982993341     -0.04475802685777985
                       20        8.198079495496028        7.183604261017765        9415.311769143431        99.99998898138389     -0.04475816976629954
                       21        6.974544951998374        6.064750298655611        9415.311606847776        99.99998815803326     -0.04475837682298334
                       22         7.31245142327155        6.822427175036625        9415.311421621442        99.99998724804179      -0.0447580249408368
                       23        8.227337362707248        6.942696131067814        9415.311244119126        99.99998636713072     -0.04475784784845693
                       24        7.254909937677763        6.190361107978041        9415.311084692283        99.99998555609328     -0.04475808099543244
                       25        7.898789906456789        7.076726376195407        9415.310899093616        99.99998464080446     -0.04475829555242328
                       26        7.033787500000455        6.879596723630695        9415.310737375623        99.99998381818871     -0.04475841692616722
                       27        7.175230388839559         6.54582236169357        9415.310580945017        99.99998301649505     -0.04475834634290088
                       28         7.03313026859005         6.30412984519786        9415.310413715233        99.99998217641861     -0.04475851762472161
                       29         7.45447949141991        7.267618453098563        9415.310240695435        99.99998131085856     -0.04475867478750573
                       30        7.273472461100035        6.594177571953481        9415.310073683962        99.99998046929693     -0.04475912276351934
                       31         7.63508619784302        6.593534290928015        9415.309917668304        99.99997966823294     -0.04475898299659065
                       32        7.324973738021816         6.87403900610939        9415.309755144885        99.99997884432847     -0.04475889960063029
                       33        7.211306565441446        7.013031809081357        9415.309600850369        99.99997805156411     -0.04475911109228825
                       34        7.250877970246084         6.64442619409283        9415.309433250615        99.99997720695022     -0.04475874144490888
                       35        7.214776875869076        6.072878415582831        9415.309278002363        99.99997640997628     -0.04475885895766574
                       36        7.539203165906514        6.327191615820976        9415.309117203058        99.99997559510469     -0.04475878538931966
                       37        7.595267092957156        6.277050844851825         9415.30894413448        99.99997473173794     -0.04475888546486217
                       38        7.286042293266327        6.562901624954738        9415.308782327131        99.99997390855604     -0.04475910053087517
                       39        7.986944838147452        7.180560950762634        9415.308597154119        99.99997299646201     -0.04475952276889572
                       40        7.884783276491357        6.618498855769126         9415.30844271879        99.99997220340819     -0.04475968366195104
                       41        6.508613311981656        5.801725548131894        9415.308293968235        99.99997143152065     -0.04475953882728589
                       42        7.070267559414714        6.834612291851524        9415.308146483407        99.99997066545411     -0.04475945182378993
                       43        6.716679391446215        6.289772527784415        9415.307985202133        99.99996984509779     -0.04475934751726296
                       44        7.663848393672248        6.888066017949013        9415.307821871802        99.99996901494201     -0.04475955139703647
                       45        7.365161147475765        6.646782500747377        9415.307666652792        99.99996821711578     -0.04475953930420218
                       46        7.489247071359753        6.836856805255885        9415.307503676846        99.99996739058591     -0.04475975758005291
                       47        6.782056377615777        6.145294096047809        9415.307331131267        99.99996652822749     -0.04475941102185743
                       48        7.100258418341242        6.381334040308913        9415.307163382151        99.99996568366339     -0.04475897909739146
                       49        7.446232783919824        6.598565822647259        9415.306999284392        99.99996485277084     -0.04475926864890489
                       50        7.050749416393301        6.674911525848412        9415.306840336923        99.99996404417405     -0.04475903619114519
                       51        6.740219713536518        6.219628262301669        9415.306678650928        99.99996322078147     -0.04475951738880557
                       52        6.958292321896939        6.325465315516183        9415.306522111425        99.99996242098514     -0.04475951612208462
                       53        7.241196811645343        6.398260549163158        9415.306351503456        99.99996156771722     -0.04476009232224953
                       54        6.996556192500218        6.423919701156105        9415.306198569459        99.99996078210756     -0.04476041692255261
                       55        7.062555385777592        6.451339989590009        9415.306045154792        99.99995999431025     -0.04476043967356347
                       56        8.053144567993801        7.085757381190835        9415.305892111981        99.99995920652833     -0.04476066688888736
                       57         7.53401376904686        6.771856003713452          9415.3057226126        99.99995835377911     -0.04476081726805203
                       58        6.666904520872749        6.366163121016806        9415.305578279742        99.99995759940506     -0.04476069856569787
                       59        7.181152201530713        6.251707174810987        9415.305413889379        99.99995676605747     -0.04476091712636077
                       60        7.427999505161734        6.068835424527073        9415.305244337043        99.99995591495114     -0.04476111899197122
                       61        7.414889340057145        6.730506942672625        9415.305076133727        99.99995506956637     -0.04476097408655288
                       62         7.02511925212635        6.183125889157698         9415.30491082194        99.99995423612077     -0.04476104067123021
                       63        7.169716993600012        6.648761820912507        9415.304760818828        99.99995345993375     -0.04476090743713357
                       64        6.828111812830898        6.375080842589867        9415.304608561288        99.99995267615704     -0.04476081713438429
                       65        7.681803440516383        6.946651376497506        9415.304431792061        99.99995179464631      -0.0447610825193987
                       66        7.077284068242192         6.12287917864564        9415.304285820584        99.99995103826529     -0.04476099748982421
                       67        6.860464004322675        6.392647699163586        9415.304120815244        99.99995020361936     -0.04476126929711555
                       68        7.208564390664222        6.842498465643795        9415.303944585939        99.99994932580501     -0.04476175551144479
                       69        7.426701208863952        6.591632357682265        9415.303769450555          99.999948452081     -0.04476156355880789
                       70        6.947659514330915        6.111514943885837        9415.303597609485        99.99994758878819     -0.04476151060448075
                       71        8.099435065538909        6.537516834495732        9415.303434876536        99.99994676251546     -0.04476124615059263
                       72         7.68353412461109        6.861079745440764        9415.303257186644        99.99994587792952     -0.04476141699264069
                       73        7.553581159921676        6.362288915801884        9415.303106223748        99.99994509816436      -0.0447612789743439
                       74        7.254960592608154        6.380309437956037        9415.302953361677        99.99994431167264     -0.04476145226782791
                       75        7.186917279148707        6.664915782945362        9415.302785666969        99.99994346821154     -0.04476162250946203
                       76        7.274889551610262        6.434398111985399        9415.302617329135         99.9999426227629     -0.04476116539381536
                       77        7.301099860932943        6.597080329814366        9415.302446627578        99.99994176458065     -0.04476087005229168
                       78        7.825799173114098        6.760267498862899        9415.302272475121        99.99994089508149      -0.0447605686043353
                       79        7.326132545128035        7.014668954504876        9415.302110337125        99.99994007195696     -0.04476089508447245
                       80        7.373427956129714        6.576799065006394        9415.301948811615        99.99993925184586     -0.04476114892287697
                       81        7.025676849943252        6.501501626344127         9415.30176553646        99.99993834694419     -0.04476094907145978
                       82        7.423712043313755        6.694722853029552        9415.301576529322        99.99993742286611     -0.04476054590867307
                       83        7.563669241585275        6.812540979538059        9415.301407610832        99.99993657444519     -0.04476029444671781
                       84        6.320767693795226        5.460093127396225        9415.301253459756        99.99993578302401     -0.04475998408545934
                       85        7.195730158796223        6.454368575497453        9415.301079760939        99.99993491263233     -0.04476026130414468
                       86        7.265400043969747        6.304581683505798          9415.3009072286         99.9999340472184     -0.04476029320335506
                       87         6.94607808043934        5.446059498110637        9415.300751689103        99.99993324759134     -0.04476042642483558
                       88        8.185594241192176         7.27576866059978        9415.300592260406        99.99993243631903     -0.04476055617499952
                       89        7.192058665162947        6.150289719700264        9415.300437274622        99.99993164119486     -0.04476084059824359
                       90        7.517817473087555        6.776610695578277        9415.300286088634        99.99993086266545     -0.04476073928951152
                       91        7.707866046134938        6.631239955389845        9415.300137358388         99.9999300928914     -0.04476051861736252
                       92        7.269693474452385        6.593843612091856        9415.299960630735        99.99992921674304     -0.04476078230149128
                       93        7.979728601153853        6.895725817494829        9415.299803057225        99.99992841108221     -0.04476071362635992
                       94        7.531995204841029        6.622280269087975        9415.299642268474        99.99992759119978     -0.04476099721454219
                       95        7.506845667907819        6.636409910851087        9415.299483601171        99.99992678132099     -0.04476102285461003
                       96        8.041771671843929        6.622404062248596         9415.29930758372        99.99992590549074     -0.04476074679030972
                       97        7.074164504528538        6.478384911007802        9415.299155507131        99.99992512016205     -0.04476113898380873
                       98        8.032670222102333        7.042926646269259        9415.298986940787        99.99992427151926     -0.04476126449334927
                       99        7.467438366161158        6.756923626113347        9415.298821487278        99.99992343713039     -0.04476078620413659
                      100        6.259923777738089        5.541184454555848        9415.298665186079        99.99992263754443       -0.044760990921624
                      101        7.608848829800722        6.748249077647794        9415.298494930154        99.99992178334395      -0.0447614008928312
                      102        7.154607805542476        6.386959751972352        9415.298329929225        99.99992094965516     -0.04476120775783698
                      103        7.175408525008335        6.094591933892505        9415.298173194067        99.99992014837218     -0.04476147544738396
                      104        7.121455173121345        6.385229722470977        9415.298013560359        99.99991933387098      -0.0447616273389162
                      105        7.988049060566651         6.93439557844756        9415.297856115241        99.99991852746739     -0.04476145131028098
                      106        6.773960505131832        6.206314141515668        9415.297698926024        99.99991772229801     -0.04476166770742651
                      107        6.967840212203336        6.227319822723906         9415.29755675372        99.99991697797364     -0.04476153459903021
                      108        7.559644988785816        6.248911976469206        9415.297411435171        99.99991621972447      -0.0447616309014407
                      109        6.683154039234144        6.288695681878306        9415.297262349141        99.99991544664979     -0.04476150838949522
                      110        7.389022686189691        7.007850442104314         9415.29709951628        99.99991462030221     -0.04476154778568464
                      111        7.529068157894849        6.776645923251845        9415.296927981251        99.99991376148267     -0.04476162734873057
                      112         7.16785233536028        6.681464601175553        9415.296764279849         99.9999129341373     -0.04476157013719551
                      113        7.368341021231814        6.811432460750606          9415.2965938939        99.99991208004855     -0.04476194830262159
