   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0         0.54071         4.03416      0.0147045        3.76431         17129.4        6.00868        1538.21         6.74161       0.523362         133.98
       1        0.500519         4.02037      0.0147729        3.78184           17127        5.99737        1535.32        -3.18911       0.498476        127.609
       2             0.5         3.97836      0.0146668        3.75467         17055.6        6.11793        1566.18        -2.24874       0.509599        130.456
       3        0.500351         3.93857      0.0147859        3.78516         17092.2        6.16131        1577.28        -2.96971       0.496716        127.158
       4        0.500427         4.04719      0.0151033        3.86643         17137.2        6.06122        1551.66        0.304818       0.511635        130.978
       5        0.500061         3.96124      0.0146708        3.75569         17141.6        5.98018        1530.91        -4.58944       0.509063        130.319
       6        0.498657          3.9295      0.0149048         3.8156         17176.3        6.11797        1566.19        -4.30967       0.502953        128.755
       7         0.49971         4.04725      0.0147635        3.77943         17097.7        6.10122         1561.9         3.64755       0.505462        129.397
       8        0.500977         3.84356      0.0141839        3.63104         17165.2         5.9715        1528.69         5.14658       0.508764        130.243
   total        0.503933         3.97885     0.00982592        3.77314         17125.8        4.03909        1551.01       -0.162944       0.338097        129.829
