   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.525391         6.24766      0.0220155        5.63592         11751.5        4.06751        1041.27         1.68566       0.404955        103.668
       1        0.499649         6.09979      0.0215914        5.52737         11672.8        3.98262        1019.54        -1.98171       0.393804        100.813
       2        0.500809         6.01769      0.0226029        5.78631         11746.6        3.95805        1013.25         -1.2985       0.390091        99.8625
       3             0.5         6.48507      0.0244796        6.26673         11759.8        3.91784        1002.96       -0.782173       0.408531        104.583
       4        0.499985         6.53563      0.0231521         5.9269         11823.3        3.78302        968.446        -1.84274       0.408452        104.563
       5        0.499634         6.41145      0.0221668        5.67466         11676.6        3.84154        983.428         5.28663       0.394895        101.092
       6        0.500671         6.13136      0.0222919        5.70669         11813.2        3.93119        1006.38         5.51031       0.400987        102.652
       7        0.499542         5.99847       0.022245        5.69468         11792.9        3.81607        976.906         6.73629       0.412951        105.715
       8         0.49939         6.39846      0.0235684        6.03348         11741.2        4.11587        1053.66        -2.49949       0.397166        101.674
   total        0.504055          6.2563      0.0151345        5.81162         11753.3        2.62617        1008.45          1.1872       0.267674        102.787
