   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.493164         15.0661      0.0548408        14.0391          6853.4        1.58325        405.309        -3.51288       0.268473        68.7286
       1        0.501755         17.6562      0.0598566        15.3232         6901.89        1.72748        442.232        -1.39186       0.283306        72.5259
       2        0.499741         18.5594       0.056754        14.5289         6852.98        1.58622         406.07        -13.9927       0.234083        59.9249
       3        0.499374         20.1902      0.0619406        15.8567          6908.7        1.69021        432.691         4.91271       0.236509        60.5458
       4        0.499939         17.1686      0.0534717        13.6886         6897.11        1.58527        405.826        -10.3284       0.261135          66.85
       5        0.499771         16.9239       0.057164        14.6339         6852.58        1.60457        410.768         1.32273       0.260621        66.7184
       6        0.500397         21.6938      0.0631476        16.1657         6850.62        1.69767        434.601        -0.25968        0.27505        70.4123
       7        0.500092         16.7104      0.0548256        14.0353         6902.01        1.66309        425.748          8.0066       0.246174        63.0201
       8         0.49968         17.5657      0.0598743        15.3277         6880.11        1.62147        415.092        -6.11813       0.251416         64.362
   total        0.499634         17.9479      0.0390198        14.9835         6877.93        1.09617        420.927        -2.37097       0.172799        66.3546
