   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.486313         24.4603      0.0750111        19.2027         6255.06        1.25459        321.174        -23.9036       0.216691        55.4725
       1        0.500824         33.8991      0.0755532        19.3415         6245.61        1.24412        318.492        -1.44367       0.193775        49.6061
       2        0.499939         28.1793      0.0775079        19.8419         6250.52        1.24504        318.727         16.2817       0.196631        50.3371
       3        0.499176         30.4613      0.0824315        21.1023         6255.35        1.24872         319.67        -2.76579         0.1944        49.7659
       4        0.500824         31.1367      0.0740749         18.963         6226.14        1.29164        330.657         3.73836       0.185951        47.6032
       5        0.500168         16.7224      0.0458953        11.7491         6335.89        1.26388        323.551        -14.2625       0.257637        65.9547
       6        0.500061         22.5617      0.0642378        16.4448         6278.51        1.23731         316.75        -18.1214       0.211853        54.2339
       7        0.499008         20.4582      0.0706873        18.0958         6316.24        1.34153        343.428        -6.53464       0.261646        66.9807
       8          0.5009         27.3585      0.0860353        22.0249         6228.49        1.25907         322.32        -18.4389       0.216309        55.3746
   total        0.498705          26.138      0.0506859        19.4633         6265.71       0.848262        325.731        -7.26561       0.147701         56.717
