   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.516098         7.85643      0.0270329        6.92036            9931        3.20317        820.006         -5.3449       0.355215        90.9344
       1        0.501251         8.18742      0.0287035        7.34804          9931.6        3.11146        796.529         3.62083       0.357646        91.5566
       2        0.497742         8.96643       0.030327        7.76365         9927.03        3.17646        813.167       -0.701578       0.346479         88.698
       3        0.501602         8.50507      0.0301899        7.72856         9923.43        3.13122        801.585         4.48748       0.354245        90.6859
       4        0.500244         7.88021      0.0266773        6.82935         9974.59        3.14381        804.809        -5.03343       0.349794        89.5466
       5        0.498993         8.34771      0.0301097        7.70801         9940.46        3.10514        794.909        -3.37157       0.355771        91.0767
       6        0.500839         8.28262      0.0301618        7.72137         9970.02        3.24618        831.016        -4.19065        0.35046        89.7171
       7         0.49968         7.49364      0.0272583        6.97807         10032.4        3.12354        799.621        -2.27448       0.366293        93.7704
       8        0.498596         8.39145      0.0302214        7.73662         9890.91        3.14352        804.734        -3.09022       0.343635        87.9699
   total        0.499749         8.21408      0.0193749        7.43993         9946.41        2.10454        808.139        -1.76163       0.235769         90.535
