   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.520711         6.46232     0.00580315        5.80315         5221.44       0.863817        863.816        0.212716      0.0964789        96.4789
  accept        0.500037         6.48511     0.00584434        5.84433          5214.4       0.867246        867.245        -1.09983       0.096088         96.088
  accept        0.499968          6.2423     0.00561755        5.61755         5220.21       0.865115        865.115       -0.880753       0.096599        96.5989
  accept        0.500356          6.3823     0.00579915        5.79914         5245.06       0.862893        862.892        -1.34794       0.097361        97.3609
  accept        0.499629         6.22885     0.00560325        5.60324         5233.56       0.872979        872.978       -0.612725      0.0970571        97.0571
  accept        0.500319         6.38183     0.00573738        5.73738          5219.9       0.876038        876.038        -1.11659      0.0966564        96.6564
  accept        0.500022         6.25087     0.00560137        5.60137         5234.11       0.865757        865.757        -0.23277      0.0979248        97.9248
       1        0.500045         6.26208     0.00562585        5.62584         5211.24        0.87087        870.869        0.650699      0.0958064        95.8063
       2        0.499795         6.36098     0.00567579        5.67578         5222.77       0.867631         867.63        0.424766      0.0973089        97.3089
       3         0.50008         6.25309     0.00568819        5.68818         5221.31       0.869717        869.717       -0.494271      0.0967214        96.7213
       4        0.499914         6.32072     0.00572621        5.72621         5225.65       0.860011         860.01         1.14788      0.0967523        96.7523
       5         0.49997         6.10407     0.00564418        5.64417         5224.93       0.864913        864.913        0.511349      0.0967552        96.7552
       6        0.499999         6.34368     0.00573162        5.73161         5239.36       0.871414        871.413       -0.662481      0.0971899        97.1898
       7         0.49988         6.36586     0.00572968        5.72967         5230.74       0.868008        868.008        0.350173      0.0967677        96.7677
       8        0.500153         6.26609     0.00573373        5.73372         5226.53       0.859936        859.936       -0.399552      0.0970556        97.0556
   total        0.500232         6.28433     0.00402667        5.69457         5225.27       0.612714        866.508        0.185057      0.0684517        96.8053
