   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.521835         9.51592     0.00826553        8.26552         2797.11       0.523607        523.606       0.0967587      0.0753772        75.3772
  accept        0.500008         9.56427     0.00811827        8.11826         2792.28          0.523            523        -1.76828      0.0756233        75.6232
  accept        0.500009          9.5858     0.00816926        8.16925         2793.04       0.528508        528.508        -1.41167      0.0764087        76.4087
  accept        0.500108         9.39089     0.00802563        8.02562         2804.76       0.527594        527.594         1.14991      0.0760685        76.0684
  accept        0.500039         9.76147     0.00829481        8.29481         2797.22        0.52406         524.06       -0.234292      0.0756956        75.6956
  accept        0.499877         9.62892     0.00817262        8.17262         2791.14       0.523635        523.635       -0.723162      0.0757665        75.7664
  accept         0.50019         9.39207     0.00800565        8.00564         2796.69       0.520087        520.087       -0.156289      0.0754213        75.4213
       1        0.499903         9.41501     0.00811976        8.11975         2802.36       0.525956        525.955       -0.365822      0.0758257        75.8257
       2        0.500161         9.59093     0.00824033        8.24032          2800.7       0.522776        522.776        0.711405      0.0760827        76.0827
       3        0.500037         9.93778     0.00831163        8.31163         2788.83       0.520669        520.669        0.977514      0.0760771        76.0771
       4         0.49971         9.73946     0.00831951         8.3195         2798.21       0.526146        526.145         -1.1022       0.075869         75.869
       5        0.500082         9.62296     0.00835188        8.35188         2801.29       0.529058        529.057        -1.16616      0.0763425        76.3424
       6        0.499924          9.1108     0.00787813        7.87813          2802.6       0.523381        523.381        0.954419      0.0766296        76.6295
       7        0.500177         9.76102     0.00822779        8.22779         2793.77       0.528565        528.565        -1.35992      0.0762887        76.2886
       8        0.499778         9.69808     0.00828239        8.28239         2793.48       0.521892        521.891       -0.588573      0.0762202        76.2201
   total        0.499895         9.60947     0.00581342        8.22141         2797.66       0.371111         524.83       -0.243312      0.0538648        76.1763
