   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500746         9.56367     0.00859895        8.59895         9104.46        0.71291         712.91        0.541095      0.0857784        85.7783
    init        0.500624         9.61257     0.00869186        8.69186         9111.43       0.712548        712.548         2.29409      0.0858702        85.8702
    init        0.500624         9.67136     0.00879307        8.79307         9089.94       0.719644        719.644        0.234211       0.085242        85.2419
       1        0.499948         9.53319     0.00862737        8.62736         9102.63       0.719555        719.554        -0.35886      0.0853515        85.3514
       2        0.500043          9.5884     0.00859305        8.59304         9098.48       0.710384        710.383       -0.565125      0.0846691         84.669
       3        0.499972         9.44121     0.00847394        8.47394          9110.7       0.707291        707.291        -1.87172      0.0854729        85.4729
       4        0.500052          9.4381     0.00849776        8.49775         9095.47       0.705784        705.784       -0.406741      0.0852907        85.2906
       5        0.499896         9.78353     0.00871663        8.71662         9106.33       0.711171        711.171        -0.11538      0.0855575        85.5575
       6        0.500168         9.85617     0.00883995        8.83995         9093.87       0.714955        714.955        -1.13128       0.084816        84.8159
       7        0.499997         9.70063     0.00867706        8.67706         9107.33       0.720544        720.544        0.153157      0.0848596        84.8596
       8        0.499909         9.39848     0.00856215        8.56215         9098.43       0.709457        709.457         1.07998      0.0854534        85.4534
   total        0.500104         9.59278     0.00609961        8.62615         9101.67       0.503757        712.419       -0.409051      0.0602389        85.1906
