   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0          0.5016         6.22582     0.00575468        5.75468         11753.7        1.00215        1002.15       -0.725689         0.1041          104.1
       1        0.500133         6.34633     0.00586186        5.86186         11753.2       0.998723        998.722       -0.271078       0.103308        103.307
       2        0.499924         6.41912     0.00595316        5.95316         11741.9        1.00664        1006.64         -1.0521       0.103315        103.315
       3         0.50007         6.28008     0.00585092        5.85092         11752.2        1.00842        1008.41      -0.0254161       0.102664        102.664
       4        0.499903         6.24623     0.00583324        5.83323         11762.8        1.00274        1002.74       -0.069888       0.103344        103.344
       5        0.499964         6.45025     0.00596759        5.96759           11756        1.00233        1002.33         0.74055       0.102763        102.763
       6         0.50007         6.51969     0.00603016        6.03015           11775        1.00894        1008.94        0.284544       0.103291        103.291
       7        0.499998         6.27912     0.00582047        5.82046           11766        1.00975        1009.75       -0.816131       0.103405        103.404
       8        0.499977         6.22702     0.00582175        5.82175         11757.8        1.00613        1006.13       0.0595137       0.103342        103.342
   total        0.499638         6.33255     0.00391889        5.87834         11757.7       0.670046        1005.07       -0.215214      0.0688603         103.29
