   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.501864         5.69519     0.00529043        5.29043         12715.9        1.11154        1111.54        0.636881       0.108054        108.054
       1        0.500011         5.70567     0.00535744        5.35744           12731        1.11151        1111.51        -1.06023        0.10885         108.85
       2        0.500071         5.64028     0.00532205        5.32205         12733.8        1.11081        1110.81       -0.235112       0.109432        109.432
       3        0.499973         5.88834     0.00551512        5.51512         12732.5        1.11673        1116.73        0.173134       0.108839        108.839
       4        0.499989         5.71363     0.00531269        5.31269         12719.5        1.11075        1110.75        -0.75765       0.108917        108.917
       5        0.499961         5.71954      0.0053338        5.33379           12721        1.11002        1110.02       -0.364353       0.108207        108.207
       6        0.499897         5.72813     0.00534115        5.34115         12735.3        1.12034        1120.34       -0.487423       0.109226        109.226
       7        0.500228         5.58265      0.0052713         5.2713         12733.5        1.10272        1102.72       -0.150294       0.109606        109.606
       8          0.4999         5.81807     0.00547979        5.47978         12736.3        1.11932        1119.32        0.834839       0.108676        108.676
   total        0.499718         5.72115      0.0035724        5.35861         12728.7       0.741818        1112.73       -0.137023      0.0725687        108.853
