   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.503326         3.07497     0.00293641        2.93641         22335.7        2.05073        2050.73       -0.648533       0.149874        149.874
       1        0.499834         3.07081     0.00295636        2.95635         22343.5         2.0378         2037.8        0.497717       0.149326        149.326
       2        0.500093         3.07882     0.00294181        2.94181         22327.9          2.043           2043       -0.393519       0.148681        148.681
       3        0.500022         3.06606     0.00295399        2.95399         22322.4        2.04558        2045.58        0.351933       0.149528        149.528
       4        0.499962         3.08377     0.00295321        2.95321         22314.3        2.04046        2040.46         1.03023       0.149003        149.003
       5        0.500027         3.09443     0.00296477        2.96477         22337.8        2.04531        2045.31        0.548172       0.149829        149.829
       6        0.499928         3.08023     0.00294893        2.94893           22328        2.03335        2033.35        0.820224       0.149423        149.423
       7        0.500078         3.04286     0.00293929        2.93928         22344.5        2.05344        2053.44        0.570294       0.149324        149.324
       8        0.500064         3.07385     0.00292866        2.92866         22327.9        2.03933        2039.33        0.970822       0.149436        149.435
   total         0.50007         3.07339      0.0019645        2.94674         22331.1        1.36204        2043.06        0.437298      0.0996026        149.404
