   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0         0.49914         23.7641      0.0186877        18.6877         6290.97       0.333038        333.038        -2.14622        0.05945          59.45
       1        0.500062         25.2879      0.0190952        19.0952          6274.4       0.325962        325.962       -0.348597       0.059433         59.433
       2        0.499921         22.2964      0.0177879        17.7879         6291.84       0.325327        325.327      -0.0594467      0.0610507        61.0507
       3        0.500001          23.183       0.018491         18.491         6293.26       0.326174        326.174        -6.20037      0.0615738        61.5737
       4        0.499958         25.3313      0.0192919        19.2919            6280        0.33001         330.01       -0.946779      0.0591424        59.1423
       5        0.500062         24.4657      0.0191338        19.1338         6279.98       0.327084        327.084       -0.337639      0.0586092        58.6092
       6        0.499968         22.6793      0.0180458        18.0457          6282.1       0.323142        323.142         -1.5085      0.0611771        61.1771
       7        0.500014         24.5084      0.0191194        19.1194         6269.22         0.3244          324.4        -2.06046      0.0584516        58.4515
       8        0.500028         24.8646      0.0194351        19.4351         6276.25        0.32801        328.009         1.49652      0.0575845        57.5845
   total        0.500493         24.0424      0.0125501        18.8251         6281.98       0.218088        327.131        -1.34803      0.0397675        59.6513
