   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.551376           2.818      0.0106339        2.72225         25194.5        8.94455        2289.79       -0.583264         0.6158        157.644
       1        0.500153         2.69499      0.0100196          2.565         25296.8        9.08608        2326.02        -3.56553       0.622576        159.378
       2        0.499374          2.7688      0.0100523        2.57336         25239.3        9.06427        2320.44        -1.01296        0.61656        157.838
       3        0.501175         2.77462      0.0105644        2.70447         25336.5         8.7704         2245.2        -1.08573       0.625953        160.243
       4         0.50087         2.81589      0.0106565        2.72803         25307.7        8.97836        2298.44         3.10174       0.613199        156.978
       5        0.500275         2.89122      0.0111681          2.859         25289.9        9.05262        2317.45        -4.93123       0.621256         159.04
       6         0.49884         2.74855      0.0104343        2.67115         25364.2        8.91889        2283.22         3.03473       0.624188        159.791
       7        0.501129         2.82673      0.0106544        2.72749         25370.6        8.95066        2291.35       -0.343902       0.618142        158.243
       8        0.498932         2.84066       0.010441        2.67289         25253.5        9.06104        2319.61        -3.11099       0.608719        155.831
   total        0.506877         2.79825      0.0070158        2.69406         25294.2        5.99046        2300.33        -1.11021       0.412209        158.288
