   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501269         2.96217     0.00284818        2.84818         23775.9        2.18039        2180.39        -1.08358       0.153757        153.757
    init        0.501204         2.93945     0.00281724        2.81724           23781        2.18043        2180.43       -0.472823        0.15404        154.039
    init        0.501276         2.90661     0.00279294        2.79294         23799.9        2.18746        2187.45       -0.178453       0.154257        154.257
       1        0.500031         2.89925       0.002792        2.79199           23744        2.18904        2189.04       -0.229419       0.153271        153.271
       2        0.500088         2.90508     0.00279939        2.79939         23779.7        2.17285        2172.85       -0.598952       0.154015        154.015
       3        0.499918         2.92327     0.00281349        2.81349         23794.9        2.19652        2196.52       -0.340329       0.154024        154.024
       4        0.500055         2.90231     0.00277646        2.77646         23789.2        2.17041        2170.41       -0.775712       0.154492        154.492
       5        0.500036         2.88795     0.00276436        2.76436         23781.6        2.16619        2166.19         0.19584       0.153691        153.691
       6        0.499915         2.94638     0.00283004        2.83004         23783.2        2.18856        2188.56        0.573583       0.154026        154.026
       7        0.499987         2.90585     0.00276878        2.76878         23780.3        2.17964        2179.64       0.0951016       0.153905        153.905
       8        0.500028         2.95221     0.00284477        2.84477         23765.5        2.18042        2180.42       0.0235165       0.153648        153.648
   total        0.500012         2.91558     0.00197963        2.79961         23777.5        1.54185         2180.5       -0.109662       0.108809         153.88
