   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.52216         18.7368      0.0154728        15.4728         6272.11       0.286499        286.498        -1.41271      0.0578662        57.8662
    init        0.522167         19.8383      0.0161496        16.1496         6260.67       0.288858        288.857        0.397199      0.0573205        57.3205
    init        0.521931         18.5073      0.0153239        15.3239          6280.8       0.290454        290.454         2.12298      0.0577093        57.7093
    init        0.521995         18.0178      0.0153142        15.3142          6276.8       0.292555        292.555         1.66481      0.0576283        57.6283
    init        0.522132          18.128      0.0154777        15.4777         6270.93        0.29168        291.679        -0.40801      0.0581471        58.1471
    init         0.52205         19.0398      0.0154084        15.4084         6268.55       0.288465        288.465        -1.67774      0.0583655        58.3655
    init        0.522046         18.0385      0.0150905        15.0905         6271.38       0.288937        288.936        0.601814      0.0581158        58.1158
    init        0.522047         18.1517      0.0151942        15.1942         6277.45       0.293911         293.91        -1.26062       0.058412         58.412
    init        0.522178         18.2163      0.0153293        15.3293          6274.8       0.287437        287.437         1.35521      0.0583087        58.3087
    init         0.52207         18.3348      0.0155253        15.5253         6273.54       0.284922        284.922       -0.615194      0.0586618        58.6617
    init        0.521906         18.8734      0.0157318        15.7318          6271.7       0.290521        290.521         1.48375      0.0588502        58.8501
    init        0.521841         18.8312       0.015566         15.566         6272.34       0.289637        289.637       -0.812496       0.058531        58.5309
    init        0.521955         18.3209      0.0153295        15.3295         6277.29       0.290631        290.631       -0.714137      0.0578977        57.8976
    init        0.521881         18.0516       0.015102         15.102         6277.38       0.286202        286.201        -1.02269      0.0578799        57.8799
    init        0.522173         18.4602      0.0156156        15.6156         6273.28       0.289682        289.682         2.06078      0.0579928        57.9927
    init        0.521986         18.3842      0.0153949        15.3949         6275.78       0.290383        290.382         2.40874      0.0585277        58.5276
    init        0.522133         18.5027      0.0153332        15.3332         6272.77       0.290109        290.109        0.218281      0.0583427        58.3426
    init        0.521796          18.654      0.0153847        15.3847         6262.09        0.28939         289.39        -1.41258      0.0573408        57.3408
    init        0.522032         18.7486      0.0156378        15.6378         6263.56        0.29105         291.05      -0.0488549      0.0568198        56.8197
  accept        0.499958         18.0955      0.0152494        15.2494         6274.45       0.287913        287.913        0.614419      0.0581826        58.1826
  accept        0.500131         18.8874      0.0156022        15.6022         6280.54       0.290973        290.973        0.312837      0.0580102        58.0102
  accept        0.499848         19.1298      0.0154405        15.4405         6268.01       0.287958        287.958      -0.0489577      0.0582907        58.2906
       1        0.500241         18.3161      0.0153072        15.3072         6278.33       0.286418        286.418         1.54037      0.0576729        57.6729
       2        0.499822         18.1299      0.0155427        15.5427         6277.31       0.288419        288.419        -1.08695      0.0583226        58.3226
       3        0.500107         17.7788      0.0152699        15.2699         6281.88       0.290172        290.172       -0.781735      0.0591652        59.1652
       4        0.499958         17.7242      0.0148225        14.8224         6269.68       0.287533        287.533        0.219147      0.0582432        58.2431
