   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.479479         2.91198     0.00277719        2.77719         15492.3        2.04949        2049.49       -0.580079       0.152023        152.023
    init        0.479714         2.90382     0.00274679        2.74678         15507.1        2.05866        2058.66       -0.938368       0.153425        153.424
    init        0.479972         2.89148     0.00277613        2.77612           15531        2.04797        2047.97       -0.398198       0.152621        152.621
  accept        0.499896         2.93109     0.00278833        2.78833         15486.5        2.05229        2052.29       -0.733189       0.152765        152.765
  accept        0.500334         2.91912     0.00278718        2.78718         15506.8        2.06123        2061.23       0.0703094         0.1526          152.6
       1        0.499218         2.89154     0.00275847        2.75847         15483.7        2.05849        2058.49       0.0826668       0.152165        152.165
       2        0.500299         2.89564      0.0027749         2.7749         15485.1        2.05199        2051.99        0.045289       0.152443        152.443
       3        0.499391          2.8971     0.00275498        2.75498         15462.2        2.05148        2051.48        0.562366       0.152799        152.799
       4        0.500598         2.90296     0.00277382        2.77382         15480.3        2.05194        2051.94       -0.153433       0.153041        153.041
       5         0.49969         2.92066     0.00279093        2.79093         15463.4        2.04406        2044.06        -0.37733       0.152502        152.502
       6        0.500646          2.8917     0.00277035        2.77035         15489.1        2.05388        2053.88        0.854874       0.153209        153.209
       7        0.499723         2.93119     0.00279549        2.79549         15476.8        2.05481        2054.81         1.38129       0.152676        152.676
       8        0.499828         2.93458     0.00280058        2.80058         15460.2        2.05138        2051.37        0.211293       0.152231        152.231
   total        0.500062         2.90848     0.00196382        2.77726         15475.1        1.45146        2052.67        0.321515       0.107942        152.653
