   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.489515         5.69785     0.00522086        5.22086         5220.45       0.891869        891.868       -0.250416       0.104911        104.911
  accept        0.499862          5.7475     0.00526861        5.26861         5224.84        0.88519         885.19       -0.327047       0.105721        105.721
  accept        0.500201          5.6704     0.00519054        5.19053         5227.12       0.889341        889.341       -0.902063       0.105215        105.215
  accept        0.499786           5.578     0.00512215        5.12214         5238.26       0.886241        886.241        0.443191        0.10585         105.85
  accept        0.500062         5.61054     0.00515056        5.15056         5224.38       0.893978        893.977        0.800131        0.10515         105.15
  accept        0.500055         5.59578      0.0051368         5.1368         5223.17        0.88948         889.48        -2.24527       0.105379        105.379
  accept        0.499913         5.61271     0.00513836        5.13836         5234.17       0.885225        885.224        0.483244       0.105737        105.737
  accept         0.49971         5.60843     0.00511277        5.11277         5226.01       0.886992        886.992       -0.543888       0.105393        105.393
  accept        0.500161         5.61099      0.0051548        5.15479         5219.38       0.888022        888.022        -0.64693       0.105421        105.421
  accept        0.500262         5.65006     0.00518397        5.18397         5234.42        0.89015        890.149        -1.08042       0.105684        105.684
  accept        0.499722          5.6755     0.00519612        5.19612         5219.68       0.888576        888.575         1.12986       0.105454        105.454
  accept        0.500251         5.58234     0.00510681         5.1068         5229.79       0.888552        888.552         0.42096       0.105157        105.157
  accept         0.50007         5.68316     0.00520084        5.20084         5236.66       0.882721         882.72         1.29945       0.106007        106.007
  accept        0.499735         5.58276     0.00511509        5.11508         5233.77        0.88848        888.479     -0.00617397       0.105496        105.496
       1        0.500141         5.66832     0.00524872        5.24872         5225.49        0.88309         883.09        0.299885       0.105679        105.679
       2        0.499695         5.61313      0.0051417         5.1417         5225.92       0.891591        891.591        -0.79329       0.105479        105.479
       3        0.500228         5.62585     0.00516397        5.16397         5220.93       0.887571         887.57       -0.170524       0.105315        105.315
       4        0.500093         5.60383     0.00514697        5.14697         5235.07       0.885406        885.405       -0.769633       0.105787        105.787
       5        0.499731         5.63764      0.0051502         5.1502         5218.47       0.887998        887.998       -0.673678       0.104805        104.805
       6        0.500385         5.69012     0.00520092        5.20092         5226.56       0.884449        884.449       -0.670133       0.105766        105.766
       7        0.499703         5.64326     0.00520026        5.20026         5227.57       0.889403        889.403       0.0713916       0.105564        105.563
       8         0.50002         5.67061     0.00515757        5.15757         5218.88       0.886556        886.556        -1.22523       0.105859        105.859
   total        0.499911         5.64416     0.00366044        5.17664         5224.86       0.627222        887.026       -0.478924      0.0746314        105.545
