   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.515152         25.0971     0.00836882        8.36881        -61.5964      0.0893043        89.3043         0.55682       0.027606         27.606
    init        0.515139         24.6544     0.00855414        8.55414        -63.1985       0.090612        90.6119       -0.622893      0.0278526        27.8526
    init        0.515323         25.0709     0.00916283        9.16283        -59.6729      0.0874489        87.4489       -0.298175      0.0274497        27.4496
    init        0.515256         24.5747     0.00840213        8.40213        -64.9518      0.0776675        77.6675        0.482268      0.0269427        26.9427
    init         0.51521         24.8931       0.008324          8.324        -63.8671         0.0795        79.4999        0.375334      0.0275617        27.5617
    init         0.51525         25.2119     0.00877942        8.77941        -60.9085      0.0805825        80.5825        -1.11488      0.0276101        27.6101
    init        0.515166         24.9898     0.00843955        8.43954        -63.3389      0.0785627        78.5627        -0.87159      0.0274529        27.4529
    init        0.515661          24.601      0.0085014        8.50139        -61.2637      0.0843628        84.3628       -0.232615      0.0276161         27.616
    init        0.515378         25.2242     0.00870637        8.70636        -62.6998      0.0859808        85.9807        0.619903      0.0271999        27.1999
    init        0.515299         24.6559     0.00829183        8.29183        -63.6637      0.0738707        73.8707       -0.470614       0.027337         27.337
    init        0.515431            25.6      0.0087213        8.72129        -62.7047      0.0789255        78.9254        0.511951      0.0273539        27.3539
    init        0.515086         24.8103     0.00836357        8.36357        -64.3002      0.0861059        86.1059      -0.0793542      0.0267967        26.7967
  accept         0.50024          25.068      0.0085883         8.5883        -63.7262      0.0723742        72.3742         1.22268       0.027605        27.6049
  accept        0.500059          24.619     0.00809314        8.09313        -65.3601      0.0713545        71.3544        0.233175      0.0278073        27.8073
  accept        0.499762         24.9089     0.00844166        8.44166        -62.7965      0.0733438        73.3438       -0.407495      0.0278323        27.8323
  accept        0.500179         24.8048     0.00825635        8.25635        -66.4694      0.0724034        72.4034       -0.571233      0.0273262        27.3262
  accept        0.499887         24.8347     0.00831358        8.31357        -64.5647      0.0731764        73.1764        0.272866      0.0276846        27.6846
  accept        0.500145         24.9177     0.00867331        8.67331        -63.3149      0.0742327        74.2326       -0.750248      0.0276945        27.6945
  accept        0.499723         24.6403     0.00859417        8.59416        -62.7468      0.0732502        73.2502        0.348904      0.0274005        27.4005
  accept        0.500204         24.7912     0.00873652        8.73651        -62.5114      0.0737297        73.7296       -0.529292      0.0265725        26.5725
  accept        0.499937         24.7249     0.00827431        8.27431        -65.3259      0.0718282        71.8282       -0.105941      0.0271055        27.1055
  accept         0.50003         24.6318     0.00836084        8.36083        -65.7776      0.0715653        71.5652       -0.999527      0.0274048        27.4047
  accept        0.499865         24.9361     0.00844437        8.44437        -63.3141      0.0716495        71.6494        0.865161      0.0271685        27.1685
  accept        0.500187          24.846     0.00860409        8.60408        -61.8668      0.0739394        73.9393       -0.840107      0.0278303        27.8303
  accept        0.500278         24.8888     0.00836062        8.36062        -62.5381      0.0728722        72.8722        0.687511      0.0270358        27.0358
  accept        0.499596         24.4643     0.00806019        8.06018        -66.1396       0.073017        73.0169        0.537791      0.0274094        27.4094
  accept        0.500016         24.8081      0.0083999         8.3999        -65.4016      0.0715835        71.5834        0.997556      0.0273539        27.3539
  accept        0.500035         24.8524     0.00836373        8.36373        -65.4105       0.071603        71.6029         0.15166      0.0275817        27.5817
  accept        0.499968         25.1071     0.00878296        8.78295        -62.6221      0.0726817        72.6817        -1.12543      0.0274403        27.4403
  accept        0.500209         24.8771     0.00835849        8.35848        -63.4289      0.0730441        73.0441       -0.651792      0.0270476        27.0476
  accept        0.499779          24.155     0.00831677        8.31676        -64.3847      0.0730777        73.0777        0.615115      0.0281685        28.1684
  accept        0.500066          24.788     0.00829278        8.29278        -66.9285      0.0713893        71.3892        0.348042      0.0269755        26.9755
  accept        0.499765         24.6185     0.00818701          8.187        -65.5058      0.0716399        71.6399       -0.148409      0.0273914        27.3914
  accept        0.500119         24.6368      0.0084649        8.46489        -63.9999      0.0714884        71.4884         0.28068      0.0274143        27.4143
  accept        0.500077         24.9299     0.00843476        8.43475        -64.9321      0.0718814        71.8814       0.0518792      0.0273411        27.3411
       1        0.500078         25.1499     0.00851222        8.51222        -65.5333      0.0723737        72.3736         -0.4431      0.0264902        26.4902
       2        0.500006         24.7602     0.00843764        8.43764        -62.2833      0.0732541         73.254       -0.172589      0.0279184        27.9184
       3        0.499964         25.1228     0.00872686        8.72685        -63.4644      0.0727176        72.7176       -0.211324      0.0269467        26.9467
       4        0.500198         24.6171     0.00837568        8.37568         -62.029      0.0742668        74.2668       -0.130803      0.0277414        27.7414
       5        0.499843         24.9798     0.00840859        8.40858        -65.2187      0.0731562        73.1562        0.487238      0.0267093        26.7093
       6        0.499846         24.9763     0.00836016        8.36016        -63.2468      0.0730999        73.0998      -0.0276887      0.0269444        26.9444
       7         0.49988         25.1314     0.00834419        8.34418        -65.1317      0.0720362        72.0361      -0.0659681      0.0275982        27.5981
       8        0.500139         24.5874     0.00834686        8.34686        -63.9663      0.0737579        73.7578        0.105707      0.0277886        27.7885
   total        0.500423         24.9154     0.00596994        8.44277        -63.8587      0.0516913        73.1026      -0.0547679      0.0192852        27.2734
