   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506395         51.2177      0.0246702        24.6702         5450.88       0.150809        150.809         2.26285      0.0356063        35.6063
    init        0.505945         52.0642      0.0239549        23.9549          5445.5         0.1493          149.3        -5.76266      0.0332396        33.2396
    init        0.506136          45.784      0.0264887        26.4887          5464.8       0.151759        151.759        -1.01416      0.0444829        44.4829
    init        0.506282         48.4272      0.0258625        25.8625         5454.51        0.14922         149.22         1.87516      0.0389896        38.9896
    init        0.506276         48.4836      0.0259682        25.9682         5453.51       0.147248        147.248       -0.516189      0.0396938        39.6938
    init        0.506315         44.7062         0.0266           26.6         5464.94       0.148377        148.377        -3.12983      0.0445097        44.5097
    init        0.506091         49.2837       0.024397         24.397         5454.63       0.150086        150.085         5.52915      0.0359093        35.9093
    init        0.506175         48.8644       0.025858         25.858         5456.15       0.149612        149.612         2.21019       0.037969        37.9689
    init        0.506267         46.3801      0.0261418        26.1418         5460.37       0.149581        149.581        -9.54674      0.0417068        41.7067
    init        0.506348         45.9682      0.0266772        26.6772         5460.29       0.152299        152.299         3.65364      0.0434039        43.4039
    init        0.506313         51.0836      0.0254177        25.4177         5450.33       0.151615        151.615        -7.76915      0.0359849        35.9849
    init        0.506472         48.5453      0.0251193        25.1193         5453.89       0.146227        146.227        -6.40864      0.0369548        36.9547
    init        0.506264         48.8636      0.0248093        24.8092         5457.93       0.149987        149.987        -4.67496      0.0359117        35.9117
    init        0.506152         50.2513      0.0256298        25.6298         5459.16       0.154233        154.233        -12.2943      0.0372108        37.2107
    init          0.5062         48.7011      0.0256991        25.6991         5456.42       0.148988        148.988        -7.20126      0.0398197        39.8197
    init        0.506492          46.223      0.0258206        25.8206         5460.94       0.151993        151.993          1.4946      0.0420706        42.0706
    init        0.506435          48.449      0.0257033        25.7033          5453.3       0.149792        149.792       0.0172569      0.0380611        38.0611
  accept         0.49973         47.2455      0.0262339        26.2339         5457.29       0.148504        148.504         3.76414      0.0419659        41.9659
  accept        0.499944         52.4897      0.0236838        23.6838         5446.07       0.144643        144.643         4.61039      0.0317283        31.7283
  accept        0.499834         48.8067       0.025152         25.152         5454.23       0.146327        146.327         1.28549      0.0395801        39.5801
  accept        0.500157         49.9531      0.0252104        25.2104         5456.03       0.149606        149.606       -0.485104      0.0370413        37.0413
  accept        0.500079         50.9608      0.0232756        23.2756         5446.15       0.142965        142.965       -0.151142      0.0293784        29.3784
  accept        0.500036         52.1118      0.0242401        24.2401         5448.65        0.14859         148.59         1.93449      0.0294577        29.4577
  accept        0.499769         49.0191       0.025286        25.2859         5455.12       0.147805        147.805        -4.37623      0.0375988        37.5988
  accept         0.50016         48.8615      0.0258371        25.8371         5453.98       0.147509        147.509       -0.594567      0.0396715        39.6715
  accept        0.499974         48.5534      0.0246258        24.6258         5455.78       0.145658        145.658        -6.56755      0.0368091        36.8091
  accept        0.499975         45.5448      0.0261496        26.1496         5466.76       0.152641        152.641        -7.10493      0.0424052        42.4052
  accept        0.500065         48.5447      0.0252839        25.2839         5457.02       0.147426        147.426         8.83888      0.0365605        36.5605
  accept        0.500066         46.5115      0.0259449        25.9449         5462.47       0.149652        149.652         1.15604      0.0420927        42.0927
  accept         0.50005         45.3656      0.0263418        26.3418         5461.95       0.147026        147.026         11.7157      0.0412224        41.2223
  accept        0.499654         51.2488      0.0240954        24.0954         5451.81       0.146572        146.572        -6.33978      0.0312789        31.2788
  accept        0.500217         52.0246      0.0255046        25.5045         5446.43       0.146696        146.696         4.84304      0.0350759        35.0759
  accept        0.500004          51.325      0.0243951        24.3951         5452.06       0.150042        150.042       -0.325364      0.0340459        34.0458
  accept        0.500133         49.8643      0.0257422        25.7422         5453.59       0.147504        147.504         1.24615       0.040212         40.212
  accept        0.499857         52.9879      0.0241509        24.1509         5447.53       0.149816        149.816        -3.37419      0.0318326        31.8326
  accept        0.500037         48.9219      0.0246783        24.6783         5456.01       0.148123        148.123         1.37285      0.0363103        36.3103
  accept        0.499906         52.7042      0.0233374        23.3374          5445.5       0.144699        144.699         5.46141      0.0307091        30.7091
  accept        0.499982         53.0552      0.0243766        24.3766         5444.67       0.146417        146.417         7.06397      0.0324506        32.4506
  accept        0.500281         48.1105      0.0246473        24.6472         5454.25       0.146402        146.402         7.25643      0.0368869        36.8869
  accept        0.499716         47.2573      0.0249997        24.9997         5462.47       0.148548        148.548       -0.489729      0.0402181        40.2181
  accept        0.500299         49.3131       0.025257         25.257         5459.22        0.15017        150.169         4.34447      0.0382075        38.2075
  accept        0.499765         50.1437      0.0246662        24.6662         5451.35       0.146667        146.667         1.82558      0.0339059        33.9059
  accept        0.500183         50.8237      0.0247808        24.7808            5451       0.147847        147.846       -0.645931      0.0366697        36.6696
  accept        0.499386         53.8774      0.0223843        22.3843         5442.08       0.142933        142.933        -2.03153       0.026778         26.778
  accept        0.500613         47.1268      0.0253513        25.3513         5458.15       0.147454        147.454        -5.53166      0.0385926        38.5925
  accept        0.499882         48.4042      0.0246195        24.6195         5456.18       0.146241        146.241        -9.42508      0.0356931        35.6931
  accept        0.500162         47.7048       0.025395         25.395          5457.1       0.145036        145.036         6.84827      0.0385076        38.5076
  accept        0.499688         53.4267      0.0234569        23.4569         5444.23       0.145503        145.503         4.74939      0.0284997        28.4997
  accept        0.500092         50.9029      0.0236336        23.6335          5450.4       0.145808        145.808        -4.44692      0.0313662        31.3662
  accept        0.499889         49.7995      0.0243375        24.3375         5454.14       0.149728        149.728         1.37099      0.0363509        36.3509
  accept        0.500279         48.7459      0.0245631        24.5631         5456.35       0.148742        148.741         1.48821      0.0336947        33.6947
  accept        0.500085         50.5205      0.0254177        25.4177         5452.78       0.148972        148.972         8.49812       0.035437         35.437
  accept        0.499719         51.5481      0.0238069        23.8069         5446.24       0.144672        144.672       -0.778364      0.0309236        30.9235
  accept        0.500022         50.7009      0.0245619        24.5619         5449.66       0.144889        144.889        -0.35315      0.0358362        35.8362
