   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.492081         21.4245      0.0128125        3.27998        -695.074       0.260818         66.769        0.244082      0.0327096        8.37359
    init         0.49234         21.0517     0.00823611        2.10843        -692.906       0.392507        100.481         1.07695      0.0381065        9.75518
    init        0.491287          20.973     0.00862385        2.20769        -697.185       0.235298        60.2359      -0.0872151      0.0338358        8.66189
  accept        0.500504         21.0937     0.00683738        1.75036        -700.997      0.0207028        5.29988       0.0308378      0.0322526        8.25659
       1        0.500504         21.0355     0.00723918        1.85322        -700.543      0.0212564         5.4416       -0.471919      0.0319165        8.17056
       2        0.499908         21.1747     0.00682793        1.74794        -701.285      0.0199491        5.10693      -0.0366204      0.0321514         8.2307
       3        0.499603         21.1449     0.00703048        1.79979        -700.718      0.0211754        5.42085      0.00986465      0.0338035        8.65363
       4        0.499588         21.1046     0.00708525        1.81381         -701.32      0.0201248         5.1519          0.5258      0.0325008        8.32015
       5        0.500519         21.1195     0.00679311        1.73902        -700.837      0.0210472        5.38804       -0.181654      0.0336234        8.60753
       6        0.500671         21.1109     0.00713427        1.82636        -700.863      0.0201509        5.15859        0.148158      0.0323634        8.28496
       7        0.499451         21.1233     0.00686458        1.75732        -700.915      0.0204496        5.23505       -0.573857      0.0314389         8.0483
       8         0.49971         20.9315     0.00706696        1.80913        -700.887      0.0205492        5.26056      -0.0545473      0.0333203        8.52993
   total          0.5019         21.0937     0.00495959        1.79556        -700.923      0.0145733        5.27608      -0.0780231      0.0231045        8.36467
