Number of particles: 100
Nmax: 14
Gamma: 0.5
Interaction type: contact
Step size: 8e-05
Batch size: 200000
Batch count: 125
             Batch number               Average n0          Fluctuations n0                   Energy           Particle count                 Momentum
                        1        6.685482352094297        5.723861256285555        11753.70934482509        99.99993342244908      0.05961640125045164
                        2        6.404986228925204        5.889406407211268         11753.7080165811        99.99992856190113       0.0596156703863997
                        3        6.742158795852309        5.685717389281176        11753.70678343865        99.99992395925686      0.05961505476560092
                        4        6.248756258504829         5.56272181273745        11753.70560454403        99.99991951139364      0.05961421278526302
                        5         5.90448228698727        5.611239546573541        11753.70427205977        99.99991462683295      0.05961280762026355
                        6        7.051739777681182        6.413798425837261        11753.70295156716        99.99990976949898      0.05961316827327856
                        7        5.684877619144951         5.29014360718884        11753.70160344801        99.99990485094217      0.05961416490617211
                        8        6.213985371169158        5.618566843693793        11753.70037028833        99.99990026082618      0.05961400709953413
                        9        5.854223499060012        5.416659855662072        11753.69909688132        99.99989554124011      0.05961420882757551
                       10        6.770223773713299        6.169692716531667        11753.69776454243        99.99989064284149      0.05961259761399162
                       11        6.380701707058846        5.626875615513858        11753.69651660095        99.99988600870823      0.05961163793620194
                       12         6.33697968460905        5.620824556266983        11753.69517162196        99.99988109172506      0.05961228158543008
                       13        6.241605194531411        5.796673023696064        11753.69389700974        99.99987638658058      0.05961171511496843
                       14        6.272246948932915        5.826569193634321         11753.6926571227        99.99987176442272      0.05961182117105146
                       15        6.786160704381948        5.958699911550104        11753.69132118581        99.99986686449867       0.0596132527377975
                       16        5.916448100880109        5.336845817097865        11753.69009313017        99.99986227892009      0.05961322660435542
                       17        6.465281690359045        5.933754426808232        11753.68874475246        99.99985735936147      0.05961350480563254
                       18        6.107581126186134        5.737141726032037        11753.68752448523         99.9998527999751      0.05961463448763737
                       19        6.267443109179351        5.312983318379684        11753.68624823409        99.99984808526769       0.0596142869750782
                       20        6.227112906978803        5.615105887322486        11753.68492185947        99.99984321600373       0.0596152510982364
                       21        6.149983456290304         5.74877024638768         11753.6837157788        99.99983867054787      0.05961416884985482
                       22        6.307341027612845        5.684984513058466        11753.68241078725        99.99983387890211      0.05961384079135001
                       23        5.543307310847479        5.180263219247236        11753.68110778077        99.99982908375141       0.0596112453859261
                       24        6.733843510283809        5.657264929925328        11753.67983317387        99.99982436953398      0.05961108976127871
                       25        5.609878732428786        5.178283707313209        11753.67851708611        99.99981952309864      0.05961188673573048
                       26        7.045630919280069        6.115943918871575        11753.67717319864        99.99981461927037      0.05961166481618374
                       27        6.398591330849435        5.808935722691967        11753.67588385782        99.99980985067076      0.05961274212624801
                       28        6.084649526798376        5.762886659044334        11753.67458163327        99.99980505567547      0.05961306865119553
                       29        6.595241995218835        6.105438339295268        11753.67320502894        99.99980003725602      0.05961228862968326
                       30        6.734630221449223        6.007449424568485        11753.67191389631        99.99979524607318      0.05961261640194238
                       31        6.366518373052309        5.971426398850665        11753.67055318216        99.99979030147243      0.05961216472516284
                       32        6.768927944194333        6.568178287831807         11753.6692814138        99.99978558524175       0.0596111854947754
                       33         6.92352354382547        6.173899712857608        11753.66793585966        99.99978066624647      0.05961100370319627
                       34        6.068786381247579         5.58516920452373        11753.66665844323        99.99977593499247      0.05960950108832108
                       35        7.158117365879703          6.3879653154112        11753.66523428119        99.99977080314045      0.05960759134380567
                       36        6.774473824339976        5.969515058467058        11753.66394366421        99.99976602808854      0.05960757441882958
                       37        5.697504680596014        4.988460949619753        11753.66266249266        99.99976129400149      0.05960794635625177
                       38        6.188087682726666        5.710556577986649        11753.66139085473        99.99975658083764       0.0596072468731812
