   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.528656         38.5057      0.0943165        24.1448         1477.17       0.562121        143.902         2.64041       0.169298          43.34
       1        0.501205         39.1014      0.0893214        22.8661         1475.13       0.546611        139.931        -1.33093       0.159399        40.8059
       2        0.499985         43.6446      0.0904711        23.1604         1461.38       0.536075        137.234        0.371897        0.14705        37.6444
       3        0.499985         36.6699      0.0907793        23.2393            1478       0.529625        135.583         2.01066       0.164801        42.1887
       4        0.499725         36.4939      0.0868791        22.2409         1485.04       0.530117        135.709         3.16112       0.165831        42.4524
       5        0.498413         35.8804      0.0872335        22.3316         1478.45       0.519945        133.105        0.561326        0.16118        41.2618
       6         0.50145         35.6532      0.0900098        23.0423         1482.08       0.534163        136.745       -0.285644       0.172272        44.1013
       7        0.500824         38.2272      0.0928886        23.7793         1481.47       0.550058        140.814        0.937247       0.167125        42.7836
       8        0.498276         41.7716      0.0858323        21.9729         1466.83       0.554323        141.906        -4.92973       0.145806        37.3261
   total        0.503208         38.4402      0.0602346          23.13         1476.16       0.360907        138.588        0.333708       0.107936        41.4473
