   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.560486         4.01747      0.0149661         3.8313         10598.3        5.25808        1346.06         2.52431       0.514496         131.71
       1        0.500824         3.81306      0.0141468        3.62154         10704.3        5.25061        1344.15         2.35738        0.50898        130.298
       2        0.501099         3.95169      0.0142193         3.6401         10659.1        5.15518        1319.72         1.26563       0.504549        129.164
       3         0.49678         4.08206      0.0150351        3.84896         10585.2        5.23506        1340.16         1.53682       0.510794        130.762
       4        0.503357          4.0434      0.0150629        3.85608         10676.1        5.33209           1365      -0.0457242       0.516373        132.191
       5        0.499023         3.97027      0.0147526        3.77663           10659        5.22441        1337.44         1.57335       0.505281        129.351
       6        0.498993         4.12642      0.0147879        3.78567         10615.2        5.38315        1378.08         2.44222        0.50612        129.566
       7        0.501801         3.93767       0.014784        3.78466           10634        5.22737         1338.2       -0.296691       0.502918        128.746
       8        0.498322         3.75323      0.0139405        3.56874         10674.5        5.26632        1348.17        -3.01245        0.51249        131.196
   total        0.506022           3.966     0.00976349        3.74917         10646.5        3.50863        1347.31        0.902348       0.339457        130.351
