   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.560028         3.70134      0.0142033        3.63601         11815.2        5.72684        1466.06        0.209796       0.531457        136.052
       1         0.50267         3.63636       0.013458        3.44521         11765.7        5.72764        1466.27        0.963417       0.524399        134.245
       2        0.497131         3.75509      0.0138487        3.54523         11779.8        5.76265        1475.23         1.99194       0.529629        135.584
       3        0.501678         3.76295      0.0140193         3.5889         11779.5        5.74769         1471.4        0.956383       0.525771        134.596
       4        0.500397         3.65113      0.0130486        3.34042         11782.6        5.79942        1484.64       -0.773894       0.525299        134.476
       5        0.499863         3.73604      0.0137267          3.514         11771.7        5.73929        1469.25        -1.98933       0.525392        134.499
       6         0.50058         3.85619      0.0139247        3.56471         11740.4        5.69846        1458.79         -1.3528       0.521224        133.432
       7        0.500122         3.63626      0.0133101        3.40735         11736.7        5.75119        1472.29        0.127788       0.522593        133.783
       8         0.50032         3.80356      0.0138449        3.54428         11808.9        5.78762        1481.62         2.67489       0.531382        136.033
   total        0.506599         3.72773      0.0091432        3.51098         11774.7        3.83223        1471.57        0.289982       0.351005        134.785
