Number of particles: 100
Nmax: 13
Gamma: 0.25
Interaction type: contact
Step size: 0.0001
Batch size: 200000
Batch count: 125
             Batch number               Average n0          Fluctuations n0                   Energy           Particle count                 Momentum
                        1        7.224630415854926        6.293044355666066        7552.714841975414        99.99994943468531      0.08466252865861179
                        2        7.418544770777216        6.505050718695797         7552.71473312932        99.99994871198655       0.0846625184410188
                        3        6.512202253369943        5.826937490259624        7552.714630802857        99.99994801879066      0.08466243823751007
                        4        6.534898272928399        5.770620144303537        7552.714532149632        99.99994734596537      0.08466246087193952
                        5        6.538656663528465        5.799895119001309        7552.714424531599        99.99994662840857      0.08466244527728595
                        6        5.707190311339629        4.987287788752952        7552.714343798245        99.99994605743171      0.08466243002015617
                        7        6.402766849177518        5.478088093379484        7552.714251325763        99.99994541515643      0.08466257965666912
                        8        7.649715862646376        6.856295274636273        7552.714150751277        99.99994473033806      0.08466267925767568
                        9         7.51012202627844        6.510783438271496        7552.714051527468         99.9999440578511      0.08466253037494065
                       10        6.731240729777602        6.026486776998627        7552.713955182763        99.99994339704566      0.08466267176299525
                       11        7.535738208644226        6.676925379272949        7552.713849626916        99.99994268953898      0.08466279430134449
                       12        7.155857364216248        6.054748264162447        7552.713743838524        99.99994198190693      0.08466270880418847
                       13        6.595175047470166        6.091099923810363         7552.71363909693        99.99994128114257      0.08466264221547526
                       14        5.870433107844367        5.312157998499817        7552.713545841514        99.99994063588129      0.08466255216166196
                       15        6.653003971590792        5.756150659643954        7552.713444861614        99.99993995698266      0.08466267724444165
                       16        6.708230265278861        6.158119728323426        7552.713348746042        99.99993929840112      0.08466272655186202
                       17        5.958087237766902        5.384645225252261        7552.713261744546         99.9999386862831      0.08466285636759441
                       18        6.038487254812377        5.468898959004899        7552.713167092489        99.99993803821752      0.08466286155167602
                       19        7.395181542015825        6.923844462316252        7552.713052712428        99.99993728791807      0.08466279607389282
                       20         7.63673201599809        6.461260974765865        7552.712943397877        99.99993656238767      0.08466293523978585
                       21        7.178299721528139         6.08445728827166        7552.712830140765        99.99993581867817       0.0846629130627754
                       22        6.962146456706071        5.592760850487745        7552.712728572525        99.99993513528952      0.08466306381971478
                       23         6.50038129313448        5.441932525915186        7552.712626817968        99.99993445157997      0.08466304156445759
                       24        6.223410892835775        5.567773744092218        7552.712535976432        99.99993382058413      0.08466313882587428
                       25        6.116347721589156        5.552057385489102        7552.712427376709        99.99993310007703      0.08466325752083925
