   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483963         15.4281     0.00677187        1.73359        -838.677        1.23694        316.654         0.71182      0.0385876        9.87834
    init        0.483185         15.5182     0.00975978        2.49848        -806.123        2.01557        515.983       -0.951477      0.0380567        9.74244
    init        0.484222         16.8143      0.0274442        7.02565         -789.89        1.82903        468.227         0.47923      0.0412355        10.5562
    init        0.482864         15.2266     0.00650295        1.66474        -834.351        1.64279        420.551        0.937895      0.0370514        9.48509
    init        0.483994         15.8147     0.00900296        2.30474        -817.327        1.75849        450.169       -0.276236      0.0425293        10.8874
    init        0.483841         15.6627     0.00779933        1.99661        -835.933        1.45496        372.466         1.02459      0.0383659        9.82159
    init        0.483276         14.9537     0.00808421        2.06954        -777.128        2.88938        739.674      -0.0744532      0.0470363        12.0412
  accept        0.500793         15.2267      0.0051356         1.3147        -880.973      0.0367622        9.41105         1.09598      0.0345988        8.85721
  accept        0.498581         15.2592     0.00431118        1.10365        -880.461      0.0366798        9.38996        -1.75249      0.0373405         9.5591
  accept        0.501007         15.1849     0.00458887        1.17474         -880.53      0.0371032        9.49835        0.283431      0.0371714         9.5158
  accept        0.501022         15.0825     0.00483517        1.23779        -880.607      0.0364411        9.32884        -1.62634      0.0356903        9.13664
  accept        0.499329         15.1679     0.00524025        1.34149        -882.011      0.0338797        8.67313        0.111299      0.0357284        9.14641
  accept        0.500153         15.0847     0.00502547        1.28651        -881.598      0.0347354        8.89218      0.00246385      0.0373238        9.55482
       1        0.499481         15.0396     0.00487504          1.248        -881.303      0.0350367        8.96933        0.030985      0.0358654        9.18146
       2        0.499496         15.1747     0.00505984        1.29531        -880.479      0.0366393        9.37958        0.370422      0.0358098        9.16723
       3        0.500809         15.2344     0.00519171        1.32907        -881.564      0.0343029        8.78147        0.280246      0.0378161        9.68085
       4        0.500778         15.2075     0.00492828        1.26163        -880.085      0.0351362        8.99481        0.106928      0.0397632        10.1793
       5        0.498917         15.2174     0.00514149        1.31621        -880.424      0.0346675        8.87481         2.15474      0.0360416        9.22658
       6        0.499496         15.1162     0.00470774        1.20517         -882.22      0.0328971        8.42158       -0.614234      0.0346935        8.88147
       7        0.500626         15.3507     0.00461619        1.18174        -879.968      0.0362479        9.27938        -2.04146       0.034876        8.92818
       8        0.499924         15.0687      0.0053175        1.36127         -881.71      0.0351208        8.99085        -1.19037      0.0356545        9.12749
   total         0.50135          15.176     0.00353393        1.27941        -880.968      0.0248591        8.99991       -0.113728      0.0258979        9.37602
