   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.485794         16.6733     0.00905597        2.31831        -659.853        1.04711        268.058        0.366941      0.0357593        9.15431
    init        0.485062         16.7808      0.0101707        2.60368        -646.641        1.59737        408.923         1.66262      0.0447493        11.4557
    init        0.485336         16.5712     0.00979635        2.50785        -652.112        1.07998        276.473        -2.85909      0.0705085          18.05
    init        0.484894         17.6614      0.0150884        3.86259         -656.92       0.980124         250.91       -0.783413      0.0390762        10.0034
    init        0.485062         17.3762      0.0123291        3.15624        -649.414        1.49596        382.962         1.03486      0.0355059        9.08944
    init         0.48526         16.8694     0.00949037        2.42952         -662.46       0.863214        220.981      -0.0739609      0.0399241        10.2205
  accept        0.501099         16.8007     0.00656587        1.68085        -693.893      0.0340212        8.70935      -0.0377458       0.034091        8.72724
       1        0.498489         17.3531     0.00639618        1.63741        -693.293      0.0318323          8.149        -1.13303      0.0374527        9.58782
       2        0.501221         17.4398     0.00646748        1.65566        -693.177      0.0314879        8.06083       -0.394755      0.0365708        9.36205
       3        0.499146         17.1729      0.0061783        1.58163        -693.169      0.0337671        8.64432        0.154988      0.0367437        9.40631
       4        0.500214         17.2686     0.00577662         1.4788        -693.675      0.0341604        8.74499        0.187061      0.0354004        9.06243
       5        0.500107         17.2717     0.00667591        1.70902        -693.574      0.0322482        8.25549        -1.19541      0.0343128        8.78401
       6        0.499786         17.1517      0.0061266         1.5684        -693.966      0.0324007        8.29451        0.643401       0.035887          9.187
       7        0.500137         17.0391     0.00603034        1.54376        -693.352      0.0303675        7.77401       -0.251906       0.035433        9.07079
       8        0.500565         17.0987     0.00624667        1.59913        -693.916      0.0325294        8.32747         1.13845      0.0350516        8.97313
   total        0.499527         17.2245     0.00442734        1.60286        -693.517      0.0229065        8.29302       -0.106117      0.0254475        9.21294
