   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501331         3.99342     0.00378823        3.78823         17131.9        1.55188        1551.88         0.93301       0.129957        129.957
    init        0.501201         4.07273     0.00383877        3.83877         17112.7        1.55519        1555.19        0.854372       0.131206        131.206
    init         0.50123         3.96066     0.00377961        3.77961         17114.4        1.56121        1561.21       0.0442242       0.129543        129.543
       1        0.499891         4.02332     0.00382028        3.82028         17114.6        1.55414        1554.13       -0.830096       0.130654        130.653
       2        0.500155         4.00356     0.00382023        3.82022         17099.1        1.54585        1545.85        -1.66095        0.12953         129.53
       3        0.500022          4.0936     0.00387986        3.87986           17120        1.55741        1557.41        0.260696       0.129955        129.955
       4        0.499965         4.00399     0.00379425        3.79425         17133.4        1.56159        1561.59        0.263988       0.130355        130.355
       5        0.500007         4.01973     0.00380518        3.80518         17126.1        1.55369        1553.69      -0.0473768         0.1308          130.8
       6        0.500007         3.97228     0.00376196        3.76196         17125.4        1.55385        1553.85        0.213665       0.131076        131.076
       7        0.499974         3.96819     0.00378602        3.78602         17093.3         1.5428         1542.8      -0.0787076       0.130284        130.284
       8        0.499951         3.99855     0.00382724        3.82724         17112.1        1.55369        1553.69       -0.744149       0.130405        130.405
   total        0.499812          4.0104     0.00269588        3.81254         17115.6        1.09809        1552.93       -0.312306      0.0921771        130.358
