   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501059          5.6947     0.00527995        5.27995         12723.8         1.1074         1107.4         1.10143       0.109581        109.581
    init        0.501045         5.62255     0.00526774        5.26774         12735.1        1.11344        1113.44        -1.10654       0.108253        108.253
    init        0.500999          5.8352     0.00538336        5.38336         12717.4          1.113           1113        0.688826       0.108254        108.254
    init        0.501147         5.64391     0.00531319        5.31319         12724.8         1.1066         1106.6      -0.0391286       0.109303        109.303
       1        0.499961          5.7017     0.00536651         5.3665         12729.5        1.11642        1116.42         1.58116       0.108711        108.711
       2        0.499929         5.65478      0.0053452        5.34519         12715.6        1.10879        1108.79        0.691221       0.109263        109.263
       3        0.499956         5.66513     0.00523243        5.23243         12722.2         1.1193         1119.3       -0.510822       0.108757        108.757
       4        0.500108         5.67445      0.0053215         5.3215         12716.2        1.10535        1105.35       -0.487098       0.108444        108.444
       5        0.500006         5.77598      0.0054391        5.43909         12738.1        1.11216        1112.16         1.08186       0.108804        108.803
       6        0.499912         5.71766      0.0053558        5.35579         12717.2        1.11139        1111.39        0.222332        0.10945         109.45
       7         0.50008         5.61307     0.00526277        5.26277         12741.6        1.11888        1118.88        0.370896        0.10894         108.94
       8        0.500007         5.72943      0.0053828         5.3828         12717.2        1.10936        1109.36       -0.150315         0.1086          108.6
   total        0.500056          5.6922     0.00377594        5.33999         12724.6       0.786836        1112.75        0.335421      0.0769755         108.86
