   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501306          2.7451     0.00265312        2.65312         25318.7        2.30982        2309.82        0.194586       0.158009        158.009
       1        0.499996         2.76962     0.00264626        2.64625           25291        2.30832        2308.32       -0.443049       0.158456        158.456
       2        0.500089         2.76483      0.0026603         2.6603         25312.8        2.30323        2303.23        -1.11351       0.158547        158.547
       3        0.499947         2.75199     0.00264725        2.64725         25253.8        2.31624        2316.24       -0.412955       0.157944        157.944
       4         0.50002         2.78502     0.00267816        2.67816         25288.8        2.31865        2318.65        0.985591       0.158179        158.179
       5        0.499968         2.76399      0.0026506         2.6506         25279.8        2.30876        2308.76       -0.410259       0.158584        158.583
       6        0.500088          2.7785     0.00265947        2.65947         25280.4        2.31081        2310.81       0.0286389       0.158486        158.486
       7        0.499927         2.79463     0.00269856        2.69856         25269.2           2.31           2310        0.523606       0.158871        158.871
       8        0.499919         2.74551     0.00264705        2.64705         25279.8        2.32711        2327.11        0.677067       0.158682        158.682
   total        0.499424         2.77012     0.00188223        2.66188           25282        1.63554           2313       0.0153431       0.112109        158.545
