   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.521857         22.5401      0.0143564        14.3564         645.506       0.184777        184.777        0.105831      0.0455396        45.5396
  accept        0.499954           23.43      0.0148339        14.8339         644.943       0.180126        180.126         2.16034      0.0438806        43.8806
  accept        0.499966         22.7426      0.0145335        14.5335          640.86       0.182351        182.351       -0.277255      0.0445913        44.5913
  accept        0.500096         22.3926      0.0144827        14.4827         642.428       0.179457        179.457      -0.0295565      0.0453033        45.3032
       1        0.499803         23.0539      0.0148856        14.8855         640.791        0.18243         182.43       -0.962265      0.0447152        44.7152
       2         0.50022         22.2735      0.0141463        14.1463         643.623       0.178496        178.496        0.405866      0.0444688        44.4688
       3        0.499777         23.7213      0.0145832        14.5832          639.09       0.179693        179.693        -2.03084      0.0446476        44.6475
       4        0.500263         22.1996      0.0141048        14.1048         646.162       0.178934        178.934        0.497921       0.045086         45.086
       5        0.499801         22.3394      0.0142365        14.2365         644.433       0.182268        182.268      -0.0450044      0.0446846        44.6846
       6         0.50009         23.3053      0.0145531        14.5531         640.598       0.182073        182.073        -1.22028      0.0444259        44.4259
       7        0.499948          23.183      0.0143276        14.3276         640.463       0.181079        181.078        0.258658      0.0443572        44.3572
       8         0.50013         23.5661      0.0148454        14.8454         641.252       0.180368        180.367        0.705205      0.0445805        44.5805
   total        0.499974         22.9552      0.0102348        14.4742         642.023       0.127768        180.691       -0.298235      0.0315553        44.6259
