   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.508224         26.7077     0.00584784        5.84784         -200.91      0.0379535        37.9534       -0.060537      0.0186173        18.6172
    init        0.508406         26.7937     0.00595618        5.95617        -200.096      0.0312551        31.2551        0.252407       0.018706         18.706
    init        0.508292         26.9778     0.00599306        5.99305        -200.236      0.0389651        38.9651      -0.0947115      0.0186032        18.6032
    init        0.508292           26.69     0.00573755        5.73754        -201.005      0.0319687        31.9687       0.0491857      0.0183682        18.3682
  accept        0.499926          26.923      0.0059128         5.9128        -201.385      0.0279655        27.9655        0.234923      0.0181506        18.1505
  accept        0.500231         26.9662     0.00593294        5.93294        -200.697       0.027836         27.836       -0.627036      0.0185333        18.5333
  accept        0.499747         26.7016     0.00580334        5.80333        -201.521      0.0278193        27.8193       -0.289439      0.0185696        18.5696
  accept        0.500399         26.5672     0.00587053        5.87053        -201.029       0.027623         27.623       -0.755923      0.0183107        18.3107
  accept        0.499822         26.7458     0.00587377        5.87377        -201.279      0.0275644        27.5644       -0.188093      0.0182067        18.2066
  accept        0.499769         27.0208     0.00599089        5.99089        -200.894      0.0279574        27.9574        0.247394      0.0181524        18.1524
  accept        0.500338         26.8635     0.00590628        5.90628        -200.934      0.0275498        27.5498       -0.142248       0.018341         18.341
  accept         0.49986         26.6964     0.00591056        5.91056        -200.438       0.028247         28.247        -0.59303      0.0185443        18.5442
  accept        0.500245         26.7219     0.00595375        5.95375        -200.628      0.0276477        27.6477       0.0331533      0.0185358        18.5357
       1        0.499688         26.8259     0.00602142        6.02141        -201.164      0.0279566        27.9565       -0.306683      0.0182753        18.2753
       2         0.50019         26.8354     0.00582676        5.82676        -200.962      0.0277807        27.7807        0.420841      0.0184478        18.4478
       3        0.499924         26.4612     0.00579633        5.79632        -201.458      0.0278754        27.8754        0.511409      0.0188259        18.8259
       4        0.499861         26.6752     0.00594471        5.94471        -200.975      0.0277235        27.7235       -0.264757      0.0184271        18.4271
       5        0.500247         26.8869     0.00595868        5.95868        -201.085       0.027669         27.669      -0.0135587      0.0182291        18.2291
       6        0.500023         26.7298     0.00580923        5.80923          -200.9      0.0281281        28.1281        0.138635      0.0185624        18.5624
       7        0.499716         26.4998     0.00590401        5.90401        -201.332      0.0279027        27.9026        0.075389       0.018179         18.179
       8         0.50002         26.7238     0.00590799        5.90798        -200.074      0.0285429        28.5429      0.00730361       0.018373         18.373
   total        0.499824         26.7046     0.00417076        5.89835        -200.994      0.0197619        27.9475       0.0708148      0.0130233        18.4177
