   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.520466         5.61449     0.00518227        5.18226         6182.91       0.997556        997.555       -0.823044       0.102546        102.546
    init        0.520294         5.59804     0.00510046        5.10046         6189.75       0.983185        983.185         1.01645       0.103269        103.269
    init        0.520217         5.64831     0.00523246        5.23246         6176.72       0.995425        995.425        -1.74639       0.102952        102.952
    init        0.520145          5.6696     0.00523684        5.23684         6173.53       0.986565        986.564       0.0752922       0.102719        102.719
  accept        0.500235         5.71225      0.0052253         5.2253          6171.5        0.98728         987.28       -0.860349       0.102869        102.869
  accept        0.499982          5.7818     0.00537377        5.37377         6190.15       0.983907        983.907        0.432499       0.103969        103.969
  accept        0.499712         5.58268     0.00511986        5.11986         6180.62       0.992291        992.291        0.209255       0.104137        104.137
       1        0.500179         5.60911     0.00514284        5.14284         6169.84       0.992862        992.862        0.785071       0.103056        103.055
       2        0.500164         5.62991     0.00520957        5.20957         6183.89       0.981674        981.674       -0.205987       0.102874        102.874
       3         0.50013         5.73265     0.00517331         5.1733         6193.86       0.991486        991.485       -0.503884        0.10485         104.85
       4        0.499614         5.66557     0.00524768        5.24768         6170.53       0.989684        989.683        -2.41488       0.103838        103.838
       5        0.500329         5.67789     0.00515782        5.15781         6180.61       0.984244        984.243        -1.60325       0.102277        102.277
       6        0.499887         5.68008     0.00517238        5.17238         6172.95       0.996967        996.967       -0.757152        0.10328         103.28
       7        0.499996         5.53157     0.00505837        5.05836         6185.62       0.990173        990.173         0.38396        0.10344         103.44
       8         0.49982         5.61738     0.00517402        5.17401         6185.47       0.992996        992.996        0.223164       0.102511        102.511
   total        0.500623         5.64288     0.00365361        5.16698         6180.54       0.700025        989.985        -0.51365      0.0730279        103.277
