   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501037         5.76213     0.00531144        5.31144         12729.6        1.11711        1117.11       0.0260216       0.108717        108.717
       1        0.499974          5.6628     0.00534978        5.34978           12729        1.10647        1106.46      0.00689438       0.109216        109.216
       2        0.500113         5.66174     0.00535597        5.35596         12737.5        1.11712        1117.12        0.504534       0.109361        109.361
       3        0.499912         5.62672     0.00529047        5.29047         12732.9        1.11024        1110.24        0.376023       0.109206        109.206
       4        0.500103         5.73408       0.005356        5.35599         12727.9        1.11235        1112.35        0.122957       0.108945        108.945
       5        0.499917         5.76129     0.00541545        5.41545         12728.9        1.11048        1110.48       -0.430192       0.108998        108.998
       6        0.500014           5.678     0.00537054        5.37054         12715.9        1.11734        1117.34       0.0615417       0.108737        108.737
       7        0.499998         5.64999     0.00536968        5.36968         12746.5         1.1128         1112.8        -1.00743       0.109101        109.101
       8        0.500027         5.68784     0.00535555        5.35555         12705.6        1.11012        1110.12       -0.350193       0.108346        108.346
   total        0.499831          5.6823     0.00378904        5.35851         12728.1       0.786401        1112.14      -0.0886062      0.0770557        108.973
