   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501298         4.03156     0.00381297        3.81297         17117.2        1.56325        1563.25        0.228182       0.129633        129.632
       1          0.4999         4.06793     0.00386376        3.86375           17106        1.56132        1561.32        0.772591       0.130813        130.813
       2        0.500054         4.08346     0.00389893        3.89893         17105.2        1.54828        1548.28       -0.694887        0.13014         130.14
       3        0.500022         3.99001     0.00380899        3.80899         17116.1        1.54686        1546.86        0.738707       0.130572        130.572
       4        0.500011         4.02516     0.00383801        3.83801         17103.4        1.55317        1553.17        0.437268       0.129713        129.713
       5        0.499958         4.05645     0.00385058        3.85058         17101.2        1.55504        1555.03        0.717625       0.130759        130.759
       6        0.499919         3.96263     0.00375878        3.75877         17115.7        1.54544        1545.44        -0.54778       0.129871        129.871
       7        0.500134          3.9798     0.00379173        3.79172         17090.1        1.55134        1551.34         -1.1568       0.130011        130.011
       8        0.499958         4.00488     0.00382297        3.82297         17101.5          1.542           1542        -1.00851       0.130184        130.184
   total        0.499933         4.02197     0.00270834        3.83017         17105.1        1.09663        1550.87       -0.099889      0.0921239        130.283
