   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500137         26.9893      0.0197957        19.7957         6262.64       0.322604        322.604         3.59729      0.0547448        54.7448
    init        0.500099         23.1364       0.018475        18.4749         6281.27       0.324914        324.914         1.10264      0.0592009        59.2009
    init        0.500134         25.4826      0.0197397        19.7397         6273.07       0.330556        330.555        -1.72856      0.0559341        55.9341
    init        0.500119         26.1487      0.0199376        19.9376         6269.21       0.325483        325.482        0.307271      0.0565532        56.5531
    init        0.500149         26.0978       0.019542         19.542         6278.12       0.327196        327.195        -1.61427      0.0574821        57.4821
    init         0.50011         25.4551      0.0190629        19.0628         6281.71       0.327941        327.941         2.56591      0.0575117        57.5117
    init        0.500104         25.4752      0.0198008        19.8008         6279.23       0.327171         327.17         3.05715      0.0573876        57.3876
    init        0.500157         24.2889      0.0188785        18.8784         6279.23       0.331027        331.027      -0.0783271      0.0592659        59.2659
       1        0.499899         26.0459      0.0194221        19.4221         6283.56       0.331382        331.381         4.92325      0.0569917        56.9917
       2         0.49999          25.336      0.0199178        19.9177         6279.15         0.3237        323.699        0.608739       0.059416         59.416
       3        0.500006         24.3664      0.0195337        19.5337         6272.28       0.323881         323.88         4.14427      0.0576102        57.6102
       4        0.500031         25.6789      0.0193616        19.3616         6275.46       0.327801        327.801       0.0133266       0.057627         57.627
       5        0.499998         25.1364      0.0197029        19.7029         6265.55       0.323323        323.322        -3.90963      0.0577515        57.7515
       6        0.500072         24.8761      0.0197186        19.7186         6277.84       0.324964        324.964       -0.324487      0.0576523        57.6523
       7        0.500012         24.2778      0.0186585        18.6585         6296.29       0.331475        331.474         2.19861      0.0612882        61.2881
       8        0.499917         25.6238       0.019056         19.056         6273.56        0.32648         326.48        0.376503      0.0573358        57.3357
   total        0.499846         25.1674      0.0137419         19.434         6277.98       0.231067        326.777         1.00476      0.0412131        58.2841
