   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499256          56.033     0.00754496        23.8593         5430.19      0.0446795        141.289        -3.84267     0.00938253        29.6702
    init        0.499296         56.7684     0.00729722        23.0758          5427.7      0.0443568        140.269          1.1432     0.00829239        26.2228
    init        0.499337         53.6755     0.00802959        25.3918         5434.61      0.0449141        142.031         3.33337      0.0116306        36.7792
    init        0.499401         51.9441     0.00833119        26.3455         5438.91      0.0455014        143.888         6.54659      0.0128649        40.6823
    init        0.499319           55.73     0.00756939        23.9365          5430.2      0.0444995         140.72          2.1985     0.00940865        29.7528
    init         0.49938         53.5623     0.00792594         25.064         5435.57      0.0449452        142.129         2.65932      0.0111985        35.4126
    init        0.499356         54.1986     0.00786507        24.8715         5434.24      0.0449061        142.005         -2.7601      0.0109702        34.6908
    init        0.499276         54.7563     0.00776912        24.5681         5431.42      0.0447982        141.664         3.84454     0.00997092        31.5308
    init        0.499252         54.2426     0.00788897        24.9471         5433.21      0.0448398        141.796        0.490644      0.0108028        34.1614
    init        0.499286         54.9765     0.00777069        24.5731         5431.19      0.0443802        140.342         4.12017       0.010558        33.3874
    init        0.499341         52.4521     0.00820475        25.9457         5437.79      0.0451827         142.88        0.759178      0.0119387        37.7536
    init        0.499352         51.9575     0.00824926        26.0864          5437.9      0.0450102        142.335        -6.08324       0.012452        39.3767
    init        0.499279         53.9589     0.00793666        25.0979         5433.43      0.0445458        140.866        -3.51118      0.0110498        34.9425
    init        0.499213         54.7471     0.00779657        24.6549         5432.48      0.0447633        141.554        -3.04136      0.0101218        32.0079
    init         0.49931         52.8301      0.0081462        25.7605          5436.8      0.0453815        143.509       -0.714429      0.0120308        38.0448
    init        0.499334         53.1469       0.008095        25.5986         5437.78        0.04535        143.409        -6.73989      0.0118048        37.3299
    init        0.499455         52.9283     0.00811053        25.6477         5435.65       0.045114        142.663         7.44342      0.0116462        36.8286
    init         0.49926         56.0576       0.007598         24.027         5428.55      0.0441062        139.476        -2.39059     0.00946668        29.9363
    init        0.499297         56.3441     0.00746794        23.6157         5427.79      0.0440494        139.296         1.24959     0.00897876        28.3933
    init        0.499347         53.4408     0.00797962        25.2338         5436.24      0.0450905        142.589         4.18412      0.0117134        37.0409
    init        0.499304         55.7119      0.0075763        23.9584         5431.36      0.0447861        141.626        -1.81816     0.00971698        30.7278
    init        0.499333         53.6416     0.00797441        25.2173         5434.16      0.0446243        141.115        0.772221      0.0115583        36.5506
    init        0.499314         50.6565     0.00837387        26.4805         5441.69       0.045422        143.637       -0.979082      0.0133078        42.0829
    init        0.499374         49.6271     0.00861668        27.2483         5442.73       0.045319        143.311         10.9611      0.0136275        43.0938
    init        0.499288         55.3312     0.00767724        24.2776         5431.19      0.0446064        141.058        -1.36979     0.00975301        30.8417
    init        0.499271         51.4536     0.00842937         26.656         5439.79      0.0457812        144.773         4.47008      0.0128573        40.6584
    init        0.499283         56.3255     0.00750212        23.7238         5428.87      0.0444936        140.701         3.29456     0.00916023        28.9672
    init        0.499386         52.1704     0.00813073        25.7116          5438.1      0.0450901        142.587         2.20421      0.0117684        37.2148
    init        0.499369         53.7666     0.00806888         25.516         5434.87      0.0448943        141.968         8.21286      0.0109004        34.4702
    init        0.499379         53.9479     0.00791447        25.0278            5434      0.0445667        140.932       -0.870662      0.0112781        35.6646
    init        0.499423         50.6606     0.00835022        26.4057         5441.98      0.0454599        143.757        0.213886      0.0133139        42.1023
    init        0.499261         56.0056     0.00756659        23.9276          5430.5      0.0451486        142.772       -0.829762     0.00971772        30.7301
    init        0.499355         53.4759     0.00799651        25.2872         5434.12      0.0447465        141.501        -2.05456       0.011304        35.7463
    init        0.499296         55.2168     0.00766957        24.2533         5430.74      0.0443532        140.257       -0.239777      0.0101474        32.0888
    init        0.499291         53.4545      0.0080537         25.468         5434.07      0.0447799        141.607        -0.54404       0.011686        36.9545
    init        0.499331         51.5417     0.00828514        26.1999         5439.63      0.0451098         142.65         2.55327      0.0127844        40.4277
    init        0.499331         54.4181     0.00787965        24.9177         5434.15      0.0450964        142.607         4.42669      0.0108827        34.4142
