   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.565155         2.73581      0.0101102        2.58819         16408.1        8.47348        2169.19         1.30035       0.622784        159.432
       1        0.497559         2.85068      0.0107382        2.74896         16430.9        8.34682        2136.77         2.08656       0.617595        158.103
       2        0.501831         2.71438       0.010132        2.59377         16426.4        8.32388         2130.9        0.403207       0.612236        156.731
       3        0.501389         2.81759       0.010435        2.67134         16517.6        8.32853        2132.09         0.55493       0.612435        156.782
       4        0.495117         2.78472      0.0102621        2.62708         16406.4        8.52702         2182.9         -3.0974       0.618652        158.374
       5        0.503052         2.76668      0.0103556        2.65102         16500.5         8.3042        2125.86         1.86497       0.612269         156.74
       6        0.500656         2.73643     0.00996723        2.55159         16462.5        8.33625        2134.06        -2.10934       0.616836        157.909
       7        0.500717         2.71266      0.0100818        2.58093         16449.5         8.3577        2139.55         1.79614       0.624639        159.906
       8        0.497787         2.78754      0.0105049        2.68923         16428.7        8.40462        2151.57       -0.820099       0.612978        156.921
   total        0.507534         2.76488      0.0068501        2.63043         16448.6        5.58763        2145.64        0.290804       0.411182        157.893
