   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.503389         2.77965     0.00265881        2.65881         25281.1        2.32384        2323.84        0.864601       0.158299        158.299
       1        0.500054         2.79427     0.00269352        2.69352         25271.3        2.31741        2317.41        0.103805        0.15856         158.56
       2        0.500013         2.75965     0.00264862        2.64862         25285.8        2.30734        2307.34        0.309554       0.158419        158.419
       3        0.499875         2.74257     0.00265366        2.65366           25272        2.31903        2319.03        0.112559       0.158746        158.746
       4          0.5001         2.76941     0.00266114        2.66114         25269.5        2.29543        2295.43        0.948651       0.157938        157.938
       5        0.499911         2.75734     0.00264472        2.64472         25282.8        2.31803        2318.03       -0.120496        0.15844         158.44
       6        0.500135         2.76089     0.00266549        2.66549         25287.8         2.3168         2316.8      -0.0254149       0.157833        157.833
       7        0.499879         2.79146     0.00268418        2.68418         25288.5        2.31526        2315.26       -0.319803       0.158506        158.506
       8        0.500052         2.76638      0.0026739         2.6739           25281        2.31069        2310.68        0.579262       0.157716        157.716
   total         0.50055         2.76927     0.00177681        2.66521         25279.7        1.54261        2313.92        0.269179       0.105517        158.276
