   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.503075         3.31167     0.00315985        3.15985         20932.6        1.92309        1923.09        0.346778       0.144772        144.772
       1        0.499968          3.2427      0.0031012         3.1012         20967.2        1.92545        1925.45       -0.692248       0.144585        144.584
       2        0.500084         3.28167     0.00314333        3.14333         20939.9        1.92344        1923.44        0.589855       0.144437        144.436
       3        0.499917         3.24895     0.00313174        3.13173         20957.7        1.91522        1915.22        0.282712       0.144943        144.943
       4        0.500042         3.30298     0.00314954        3.14953         20947.2        1.90981        1909.81        -1.25596        0.14454         144.54
       5        0.499961         3.28816     0.00316516        3.16516         20962.1        1.92674        1926.74       -0.386842       0.145439        145.439
       6        0.500049         3.26628     0.00313573        3.13572         20964.7        1.92004        1920.04        0.367683       0.145585        145.585
       7        0.499935         3.30065      0.0031352         3.1352         20926.5        1.92411        1924.11        0.501008       0.143736        143.736
       8        0.500033         3.27176     0.00316243        3.16242         20930.5        1.91455        1914.55       -0.919881       0.144262        144.262
   total        0.500236         3.27966     0.00209546        3.14319         20947.4        1.28036        1920.54       -0.116804      0.0964697        144.705
