   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.560776         3.16187      0.0120815        3.09284         14227.6        6.79571        1739.69        -1.92259       0.567225        145.208
       1        0.502243         3.27004      0.0121376        3.10721         14236.2        6.76257         1731.2         1.62299       0.568604        145.562
       2        0.498703          3.2046      0.0117658        3.01203         14104.5        6.90038        1766.48       -0.576917       0.566066        144.912
       3        0.500885         3.33901      0.0121671        3.11476         14155.5        6.83109        1748.74        -3.92081       0.558244        142.909
       4        0.499146         3.23842      0.0119782        3.06641         14188.5        6.81385        1744.33        0.530044       0.559468        143.223
       5        0.500671         3.23414      0.0124565        3.18884           14146         6.6963        1714.24       -0.423424       0.564124        144.415
       6        0.499695         3.26629      0.0122258        3.12977         14158.8        6.83947        1750.89         1.41939       0.563725        144.312
       7        0.500305         3.26007      0.0122858        3.14515         14139.3         6.8104        1743.45         0.39778        0.56964        145.827
       8        0.500244         3.28077      0.0124625        3.19038         14175.1        6.72231         1720.9       -0.239137       0.570374        146.015
   total        0.507372         3.25086     0.00811852         3.1175         14170.3        4.53086        1739.85       -0.373899       0.377406        144.924
