   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.537903         23.9286      0.0717462        18.3669          1792.1       0.767394        196.451        -5.54381       0.203986        52.2199
       1        0.499725         26.2722      0.0725309        18.5678          1784.3       0.761184        194.862        0.823657       0.195086        49.9415
       2        0.499802         25.7368      0.0709727        18.1689         1780.38       0.736696        188.593        -1.60526       0.185451        47.4751
       3        0.499374         25.8759      0.0743413        19.0312         1795.46       0.754413        193.128        -1.47525       0.194582        49.8127
       4        0.500641         26.4627      0.0763258        19.5393         1791.18       0.745923        190.955        0.269721       0.195784        50.1204
       5        0.500366         24.3504      0.0720009        18.4321         1779.41       0.751397        192.356        -6.56826       0.206246        52.7984
       6        0.500046         23.6876      0.0712219        18.2327         1790.49       0.787835        201.684         0.75573       0.199971        51.1922
       7        0.499283         27.7223       0.071349        18.2652         1794.84       0.778851        199.384       -0.623813       0.195095        49.9439
       8        0.499207         26.5113      0.0717313        18.3631         1778.46       0.735453        188.275         3.22659       0.186975        47.8652
   total        0.505181         25.6188      0.0484377           18.6         1787.39       0.505706         194.19        -1.17423       0.130827        50.2374
