   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.507591         25.5778      0.0163873        16.3872         416.793       0.130384        130.384       -0.614387      0.0436198        43.6198
    init        0.507888          25.537      0.0163146        16.3146         418.442       0.128806        128.806        0.400883      0.0437761         43.776
    init         0.50769         25.5319      0.0165876        16.5876         416.291       0.129694        129.694        0.355616      0.0434245        43.4245
    init        0.507722         25.0562      0.0161675        16.1674         419.012       0.130323        130.323      0.00494725      0.0438311         43.831
  accept        0.499977          25.638      0.0162695        16.2695         417.477       0.129595        129.595        0.281022      0.0436117        43.6117
  accept        0.500193         25.9665      0.0164685        16.4685         416.037        0.12844         128.44        0.310665      0.0437962        43.7962
  accept        0.499986         25.3311      0.0162249        16.2248          417.87       0.129691        129.691        0.209292      0.0437869        43.7869
  accept        0.500035         25.4596      0.0162794        16.2794         418.726           0.13            130       -0.195704      0.0441709        44.1709
  accept        0.499737         25.5011      0.0163972        16.3972         418.562        0.12935         129.35      -0.0542909       0.043628         43.628
       1        0.500004         25.8658      0.0165375        16.5375         417.268       0.128464        128.464        0.288589      0.0438223        43.8223
       2        0.500225         26.2766      0.0163617        16.3617         415.773       0.130039        130.039       -0.285326      0.0438063        43.8063
       3        0.499738         25.1341      0.0163422        16.3422         417.121       0.129875        129.875         0.42174      0.0437421        43.7421
       4        0.500208         25.3154      0.0162099        16.2099         417.539       0.129218        129.218        -0.86228      0.0436011        43.6011
       5        0.499909         25.2241      0.0162884        16.2884         417.709       0.129114        129.114        0.511711      0.0438399        43.8399
       6        0.499907         25.7956      0.0165467        16.5467         420.253       0.130003        130.003         1.33016      0.0435647        43.5646
       7        0.499968         25.8288      0.0164881         16.488         418.424       0.130071        130.071        0.517225      0.0436838        43.6838
       8        0.500679         25.3764      0.0163643        16.3643         419.095       0.130863        130.863        -0.22829       0.043816         43.816
   total        0.500251          25.603      0.0115951        16.3979         417.882       0.091719         129.71        0.212063      0.0309203        43.7278
