   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.563507         2.89541      0.0106856        2.73548         14902.9        7.69479        1969.85        -1.15601       0.598762        153.282
       1         0.50145         2.89343      0.0107871        2.76148         14933.3        7.80023        1996.84         4.55048       0.600388        153.698
       2        0.497192         2.94727      0.0109285        2.79768         14921.7        7.78973        1994.16      -0.0444336       0.594816        152.272
       3        0.502106         2.85458       0.010661         2.7292         14935.2        7.71706        1975.55        -0.38539       0.596458        152.692
       4        0.500031         2.92491      0.0110597        2.83125         14969.1        7.82476        2003.12        0.792463       0.595735        152.507
       5        0.499741         2.90456      0.0107402        2.74948         14896.8         7.8553        2010.94         1.69463       0.593042        151.818
       6        0.500656         2.77881      0.0101026        2.58625         14916.3        7.69718        1970.46        0.854056       0.595673        152.491
       7        0.498611         2.90206      0.0107355        2.74828         14945.6        7.79673        1995.95        -1.43812       0.591711        151.477
       8        0.501144         2.84881      0.0107752        2.75843         14971.8        7.83659        2006.15       -0.793853       0.603887        154.594
   total        0.509054         2.88289     0.00715033        2.74572         14929.9        5.18532        1991.16        0.338884       0.397741        152.732
