   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.563126         4.26506      0.0156001        3.99359         7769.83        4.67918        1197.86        -2.18962       0.486365        124.508
       1        0.500366         4.48016      0.0164545        4.21233         7818.39        4.62218        1183.27        0.286339       0.492424        126.059
       2        0.500214          4.3587      0.0162128        4.15044         7812.21        4.70445        1204.33        -4.41475       0.490948        125.682
       3        0.500076         4.27301      0.0158922        4.06837         7825.79        4.81782        1233.35        0.897607       0.486354        124.506
       4        0.499771         4.07835      0.0151483        3.87792         7795.62        4.81858        1233.55         2.59693       0.484342        123.991
       5        0.500168         4.14879      0.0150965        3.86467         7778.98         4.6638        1193.92       -0.218333       0.491234        125.755
       6        0.500305         4.21934      0.0156776        4.01344         7779.63         4.6021        1178.13         2.51395       0.486919         124.65
       7        0.500092         4.15968      0.0150166        3.84423         7745.95        4.71893        1208.04        0.276472       0.483456        123.764
       8        0.500595         4.30511      0.0159572        4.08502         7795.44        4.76345        1219.43         2.70744        0.48447        124.023
   total        0.506714         4.25252      0.0104631         4.0178         7791.07        3.14218        1206.59       0.0901109       0.325088        124.834
